year,hour,temp
1957,00,-0492
1957,03,-0475
1957,06,-0470
1957,09,-0475
1957,12,-0475
1957,15,-0475
1957,18,-0492
1957,21,-0503
1958,00,-0597
1958,01,-0603
1958,02,-0603
1958,03,-0614
1958,04,-0625
1958,05,-0625
1958,06,-0631
1958,07,-0631
1958,08,-0631
1958,09,-0631
1958,10,-0631
1958,11,-0631
1958,12,-0625
1958,13,-0631
1958,14,-0631
1958,15,-0620
1958,16,-0620
1958,17,-0620
1958,18,-0614
1958,19,-0614
1958,20,-0608
1958,21,-0608
1958,22,-0608
1958,23,-0603
1959,00,-0547
1959,01,-0547
1959,02,-0547
1959,03,-0542
1959,04,-0553
1959,05,-0559
1959,06,-0564
1959,07,-0559
1959,08,-0559
1959,09,-0559
1959,10,-0542
1959,11,-0547
1959,12,-0547
1959,13,-0553
1959,14,-0531
1959,15,-0531
1959,16,-0531
1959,17,-0520
1959,18,-0525
1959,19,-0547
1959,20,-0536
1959,21,-0547
1959,22,-0564
1959,23,-0559
1960,00,-0547
1960,01,-0547
1960,02,-0536
1960,03,-0553
1960,04,-0559
1960,05,-0559
1960,06,-0559
1960,07,-0564
1960,08,-0564
1960,09,-0575
1960,10,-0575
1960,11,-0575
1960,12,-0575
1960,13,-0575
1960,14,-0575
1960,15,-0581
1960,16,-0581
1960,17,-0581
1960,18,-0570
1960,19,-0575
1960,20,-0575
1960,21,-0575
1960,22,-0575
1960,23,-0581
1961,00,-0620
1961,03,-0586
1961,06,-0559
1961,09,-0542
1961,12,-0475
1961,15,-0436
1961,18,-0425
1961,21,-0403
1962,00,-0570
1962,03,-0559
1962,06,-0553
1962,09,-0547
1962,12,-0547
1962,15,-0564
1962,18,-0570
1962,21,-0586
1963,00,-0586
1963,03,-0559
1963,06,-0542
1963,09,-0497
1963,12,-0464
1963,15,-0475
1963,18,-0542
1963,21,-0559
1964,00,-0509
1964,03,-0511
1964,06,-0514
1964,09,-0522
1964,12,-0514
1964,15,-0522
1964,18,-0539
1964,21,-0556
1965,00,-0628
1965,03,-0622
1965,06,-0606
1965,09,-0594
1965,12,-0589
1965,15,-0578
1965,18,-0550
1965,21,-0528
1966,00,-0622
1966,06,-0556
1966,12,-0572
1966,18,-0567
1967,00,-0622
1967,06,-0622
1967,12,-0611
1967,18,-0578
1968,00,-0539
1968,06,-0533
1968,12,-0533
1968,18,-0533
1969,00,-0578
1969,06,-0556
1969,12,-0514
1969,18,-0492
1970,00,-0497
1970,06,-0514
1970,12,-0497
1970,18,-0503
1971,00,-0559
1971,06,-0564
1971,12,-0536
1971,18,-0544
1972,00,-0592
1972,06,-0531
1972,12,-0564
1972,18,-0470
1973,00,-0536
1973,01,-0531
1973,02,-0536
1973,03,-0553
1973,04,-0564
1973,05,-0570
1973,06,-0575
1973,07,-0581
1973,08,-0575
1973,09,-0570
1973,10,-0570
1973,11,-0564
1973,12,-0564
1973,13,-0570
1973,14,-0570
1973,15,-0564
1973,16,-0570
1973,17,-0570
1973,18,-0575
1973,19,-0564
1973,20,-0575
1973,21,-0581
1973,22,-0581
1973,23,-0581
1974,00,-0547
1974,06,-0559
1974,12,-0547
1974,18,-0570
1975,00,-0536
1975,06,-0536
1975,12,-0553
1975,18,-0559
1976,00,-0592
1976,06,-0586
1976,12,-0581
1976,18,-0564
1977,00,-0538
1977,06,-0549
1977,12,-0577
1977,18,-0583
1978,00,-0528
1978,06,-0467
1978,12,-0439
1978,18,-0422
1979,00,-0440
1979,06,-0450
1979,12,-0460
1979,18,-0510
1980,00,-0594
1980,06,-0578
1980,12,-0572
1980,18,-0567
1981,00,-0630
1981,06,-0606
1981,12,-0600
1981,18,-0617
1982,00,-0578
1982,06,-0589
1982,12,-0556
1982,18,-0578
1983,00,-0517
1983,06,-0522
1983,12,-0544
1983,18,-0578
1984,00,-0644
1984,03,-0633
1984,06,-0644
1984,09,-0649
1984,12,-0666
1984,15,-0666
1984,18,-0683
1984,21,-0694
1985,00,-0372
1985,03,-0377
1985,06,-0366
1985,09,-0377
1985,12,-0400
1985,15,-0405
1985,18,-0405
1985,21,-0411
1986,00,-0594
1986,03,-0599
1986,06,-0549
1986,09,-0538
1986,12,-0549
1986,15,-0549
1986,18,-0555
1986,21,-0561
1988,12,-0560
1988,18,-0567
1992,00,-0656
1992,06,-0651
1992,12,-0648
1993,00,-0643
1993,06,-0643
1995,00,-0548
1995,06,-0559
1995,18,-0590
1996,00,-0693
1996,06,-0692
1996,12,-0688
1996,18,-0664
1997,00,-0487
1997,12,-0534
1998,00,-0623
1998,06,-0609
1998,12,-0623
1998,18,-0630
1999,00,-0694
1999,06,-0705
1999,12,-0716
1999,18,-0700
2005,00,-0607
2005,06,-0607
2005,12,-0570
2005,18,-0519
2006,06,-0490
2006,12,-0510
2006,18,-0530
2007,00,-0579
2007,06,-0557
2007,12,-0629
2007,18,-0642
2008,00,-0428
2008,06,-0459
2008,12,-0463
2008,18,-0472
2009,00,-0558
2009,06,-0526
2009,12,-0502
2009,18,-0477
2010,00,-0686
2010,06,-0689
2010,12,-0677
2010,18,-0694
2011,00,-0613
2011,06,-0608
2011,12,-0577
2011,18,-0601
2012,00,-0649
2012,06,-0669
2012,12,-0669
2012,18,-0677
2014,00,-0656
2014,06,-0662
2014,12,-0676
2014,18,-0673
2015,00,-0665
2015,06,-0681
2015,12,-0690
2015,18,-0708
2016,00,-0502
2016,06,-0526
2016,12,-0551
2016,18,-0536
2017,00,-0483
2017,06,-0427
2017,12,-0492
2017,18,-0526
2018,00,-0558
2018,06,-0579
2018,12,-0582
2018,18,-0593
2019,00,-0594
2019,06,-0637
2019,12,-0660
2019,18,-0647
2020,00,-0554
2020,06,-0523
2020,12,-0569
2020,18,-0555
2021,00,-0584
2021,06,-0597
2021,12,-0624
2021,18,-0633
2022,00,-0490
2022,06,-0501
2022,12,-0559
