year,hour,temp
1957,00,-0575
1957,03,-0586
1957,06,-0586
1957,09,-0581
1957,12,-0592
1957,15,-0581
1957,18,-0575
1957,21,-0603
1958,00,-0647
1958,04,-0631
1958,05,-0631
1958,06,-0636
1958,07,-0631
1958,08,-0631
1958,09,-0614
1958,10,-0586
1958,11,-0581
1958,12,-0592
1958,13,-0586
1958,14,-0581
1958,15,-0581
1958,16,-0592
1958,17,-0586
1958,18,-0581
1958,19,-0559
1958,20,-0553
1958,21,-0553
1958,22,-0575
1958,23,-0575
1959,00,-0608
1959,01,-0608
1959,02,-0608
1959,03,-0608
1959,04,-0614
1959,05,-0614
1959,06,-0614
1959,07,-0614
1959,08,-0608
1959,09,-0597
1959,10,-0581
1959,11,-0570
1959,12,-0570
1959,13,-0564
1959,14,-0564
1959,15,-0542
1959,16,-0536
1959,17,-0536
1959,18,-0520
1959,19,-0509
1959,20,-0497
1959,21,-0489
1959,22,-0470
1959,23,-0470
1960,00,-0559
1960,01,-0553
1960,02,-0559
1960,03,-0547
1960,04,-0542
1960,05,-0536
1960,06,-0509
1960,07,-0520
1960,08,-0514
1960,09,-0503
1960,10,-0481
1960,11,-0453
1960,12,-0425
1960,13,-0409
1960,14,-0414
1960,15,-0403
1960,16,-0392
1960,17,-0392
1960,18,-0386
1960,19,-0381
1960,20,-0381
1960,21,-0381
1960,22,-0375
1960,23,-0370
1961,00,-0570
1961,03,-0592
1961,06,-0592
1961,09,-0603
1961,12,-0620
1961,15,-0620
1961,18,-0620
1961,21,-0620
1962,00,-0520
1962,03,-0536
1962,06,-0536
1962,09,-0547
1962,12,-0564
1962,15,-0514
1962,18,-0448
1962,21,-0464
1963,00,-0608
1963,03,-0608
1963,06,-0603
1963,09,-0586
1963,12,-0575
1963,15,-0564
1963,18,-0553
1963,21,-0559
1964,00,-0633
1964,03,-0639
1964,06,-0639
1964,09,-0639
1964,12,-0639
1964,15,-0639
1964,18,-0672
1964,21,-0667
1965,00,-0550
1965,03,-0539
1965,06,-0533
1965,09,-0533
1965,12,-0550
1965,15,-0550
1965,18,-0561
1965,21,-0544
1966,00,-0589
1966,06,-0528
1966,12,-0550
1966,18,-0544
1967,00,-0475
1967,06,-0459
1967,12,-0492
1967,18,-0492
1968,00,-0617
1968,06,-0628
1968,12,-0633
1968,18,-0639
1969,00,-0600
1969,06,-0583
1969,12,-0572
1969,18,-0572
1970,00,-0578
1970,06,-0556
1970,12,-0539
1970,18,-0589
1971,00,-0531
1971,06,-0559
1971,12,-0570
1971,18,-0586
1972,00,-0559
1972,06,-0581
1972,12,-0608
1972,18,-0608
1973,00,-0658
1973,01,-0653
1973,02,-0647
1973,03,-0653
1973,04,-0653
1973,05,-0653
1973,06,-0647
1973,07,-0647
1973,08,-0647
1973,09,-0647
1973,10,-0653
1973,11,-0653
1973,12,-0658
1973,13,-0658
1973,14,-0653
1973,15,-0658
1973,16,-0658
1973,17,-0658
1973,18,-0658
1973,19,-0658
1973,20,-0664
1973,21,-0658
1973,22,-0664
1973,23,-0664
1974,00,-0509
1974,06,-0514
1974,12,-0481
1974,18,-0509
1975,00,-0575
1975,06,-0586
1975,12,-0570
1975,18,-0581
1976,00,-0692
1976,06,-0686
1976,18,-0570
1977,00,-0520
1977,06,-0509
1977,12,-0536
1977,18,-0559
1978,00,-0461
1978,06,-0472
1978,12,-0483
1978,18,-0500
1979,00,-0550
1979,06,-0494
1979,12,-0461
1979,18,-0444
1980,00,-0560
1980,06,-0560
1980,12,-0570
1980,18,-0580
1981,00,-0620
1981,06,-0633
1981,12,-0639
1981,18,-0594
1982,00,-0672
1982,06,-0644
1982,12,-0656
1982,18,-0672
1983,00,-0606
1983,06,-0622
1983,12,-0606
1983,18,-0617
1984,00,-0588
1984,03,-0594
1984,06,-0605
1984,09,-0633
1984,12,-0633
1984,15,-0633
1984,18,-0644
1984,21,-0633
1985,00,-0605
1985,03,-0633
1985,06,-0644
1985,09,-0599
1985,12,-0606
1985,15,-0588
1985,18,-0594
1985,21,-0605
1986,00,-0561
1986,03,-0544
1986,06,-0555
1986,09,-0561
1986,12,-0561
1986,15,-0577
1986,18,-0583
1986,21,-0583
1988,00,-0541
1988,18,-0482
1991,00,-0435
1991,06,-0453
1991,18,-0540
1992,00,-0609
1992,06,-0535
1992,12,-0487
1993,00,-0596
1993,06,-0583
1995,00,-0543
1995,12,-0542
1995,18,-0542
1996,00,-0566
1996,12,-0472
1996,18,-0469
1998,00,-0612
1998,06,-0597
1998,12,-0576
1999,00,-0534
1999,06,-0549
1999,18,-0564
2005,00,-0626
2005,06,-0638
2005,12,-0649
2005,18,-0628
2006,00,-0630
2006,06,-0670
2006,12,-0660
2006,18,-0660
2007,00,-0643
2007,06,-0643
2007,12,-0661
2007,18,-0643
2008,00,-0548
2008,06,-0567
2008,12,-0590
2008,18,-0544
2009,00,-0651
2009,06,-0654
2009,12,-0670
2009,18,-0678
2010,00,-0534
2010,06,-0515
2010,12,-0510
2010,18,-0527
2011,00,-0598
2011,06,-0553
2011,12,-0527
2011,18,-0500
2012,00,-0660
2012,06,-0653
2012,12,-0650
2012,18,-0651
2014,00,-0643
2014,06,-0582
2014,12,-0574
2014,18,-0552
2015,00,-0651
2015,06,-0652
2015,12,-0644
2015,18,-0666
2016,00,-0539
2016,06,-0480
2016,12,-0519
2016,18,-0551
2017,00,-0610
2017,06,-0600
2017,12,-0603
2017,18,-0570
2018,00,-0585
2018,06,-0591
2018,12,-0600
2018,18,-0584
