year,hour,temp
1957,00,-0575
1957,01,-0578
1957,02,-0575
1957,03,-0570
1957,04,-0564
1957,05,-0570
1957,06,-0570
1957,07,-0564
1957,08,-0564
1957,09,-0564
1957,10,-0564
1957,11,-0570
1957,12,-0564
1957,13,-0575
1957,14,-0581
1957,15,-0570
1957,16,-0559
1957,17,-0581
1957,18,-0575
1957,19,-0570
1957,20,-0564
1957,21,-0559
1957,22,-0581
1957,23,-0581
1958,00,-0570
1958,01,-0547
1958,02,-0581
1958,03,-0570
1958,04,-0570
1958,05,-0559
1958,06,-0559
1958,07,-0564
1958,08,-0564
1958,09,-0570
1958,10,-0570
1958,11,-0553
1958,12,-0542
1958,13,-0553
1958,14,-0553
1958,15,-0547
1958,16,-0553
1958,17,-0553
1958,18,-0553
1958,19,-0559
1958,20,-0564
1958,21,-0570
1958,22,-0575
1958,23,-0570
1959,00,-0559
1959,01,-0559
1959,02,-0553
1959,03,-0553
1959,04,-0553
1959,05,-0547
1959,06,-0547
1959,07,-0547
1959,08,-0542
1959,09,-0531
1959,10,-0536
1959,11,-0536
1959,12,-0531
1959,13,-0520
1959,14,-0514
1959,15,-0503
1959,16,-0492
1959,17,-0481
1959,18,-0475
1959,19,-0470
1959,20,-0464
1959,21,-0464
1959,22,-0464
1959,23,-0459
1960,00,-0517
1960,01,-0522
1960,02,-0506
1960,03,-0506
1960,04,-0489
1960,05,-0489
1960,06,-0506
1960,07,-0522
1960,08,-0511
1960,09,-0522
1960,10,-0522
1960,11,-0506
1960,12,-0517
1960,13,-0522
1960,14,-0517
1960,15,-0517
1960,16,-0500
1960,17,-0511
1960,18,-0511
1960,19,-0511
1960,20,-0517
1960,21,-0506
1960,22,-0506
1960,23,-0522
1961,00,-0464
1961,03,-0459
1961,06,-0475
1961,09,-0459
1961,12,-0470
1961,15,-0470
1961,18,-0464
1961,21,-0475
1962,00,-0531
1962,03,-0525
1962,06,-0531
1962,09,-0525
1962,12,-0525
1962,15,-0542
1962,18,-0559
1962,21,-0564
1963,00,-0544
1963,03,-0550
1963,06,-0556
1963,09,-0572
1963,12,-0567
1963,15,-0567
1963,18,-0572
1963,21,-0578
1964,00,-0539
1964,03,-0533
1964,06,-0533
1964,09,-0544
1964,12,-0550
1964,15,-0578
1964,18,-0594
1964,21,-0600
1965,00,-0561
1965,03,-0572
1965,06,-0578
1965,09,-0594
1965,12,-0583
1965,15,-0589
1965,18,-0583
1965,21,-0589
1966,00,-0589
1966,06,-0600
1966,12,-0600
1966,18,-0606
1967,00,-0561
1967,06,-0561
1967,12,-0572
1967,18,-0533
1968,00,-0431
1968,06,-0453
1968,12,-0464
1968,18,-0459
1969,00,-0539
1969,06,-0533
1969,12,-0481
1969,18,-0420
1970,00,-0314
1970,06,-0325
1970,12,-0398
1970,18,-0436
1971,00,-0509
1971,03,-0542
1971,06,-0559
1971,09,-0547
1971,12,-0536
1971,15,-0547
1971,18,-0564
1971,21,-0586
1972,00,-0425
1972,06,-0414
1972,12,-0431
1972,18,-0453
1973,00,-0559
1973,01,-0559
1973,02,-0570
1973,03,-0570
1973,04,-0575
1973,05,-0581
1973,06,-0586
1973,07,-0575
1973,08,-0575
1973,09,-0575
1973,10,-0575
1973,11,-0570
1973,12,-0570
1973,13,-0564
1973,14,-0570
1973,15,-0575
1973,16,-0575
1973,17,-0575
1973,18,-0586
1973,19,-0581
1973,20,-0581
1973,21,-0581
1973,22,-0575
1973,23,-0575
1974,00,-0497
1974,06,-0503
1974,12,-0514
1974,18,-0525
1975,00,-0442
1975,06,-0425
1975,12,-0409
1975,18,-0409
1976,00,-0525
1976,06,-0542
1976,12,-0542
1976,18,-0542
1977,00,-0666
1977,06,-0660
1977,12,-0638
1977,18,-0622
1978,00,-0550
1978,06,-0511
1978,12,-0522
1978,18,-0539
1979,00,-0590
1979,06,-0590
1979,12,-0570
1979,18,-0590
1980,00,-0617
1980,06,-0540
1980,12,-0490
1980,18,-0460
1981,00,-0520
1981,06,-0489
1981,12,-0511
1981,18,-0533
1982,00,-0422
1982,06,-0428
1982,12,-0450
1982,18,-0450
1983,00,-0594
1983,06,-0583
1983,12,-0572
1983,18,-0517
1984,00,-0572
1984,03,-0566
1984,06,-0566
1984,09,-0561
1984,12,-0561
1984,15,-0549
1984,18,-0549
1984,21,-0549
1985,00,-0511
1985,03,-0511
1985,06,-0544
1985,09,-0566
1985,12,-0583
1985,15,-0588
1985,18,-0594
1985,21,-0599
1986,00,-0616
1986,03,-0622
1986,06,-0627
1986,09,-0610
1986,12,-0638
1986,15,-0644
1986,18,-0616
1986,21,-0616
1988,00,-0554
1990,00,-0624
1990,06,-0614
1990,12,-0608
1990,18,-0580
1991,06,-0335
1991,18,-0373
1992,00,-0407
1992,06,-0455
1992,12,-0477
1993,00,-0543
1993,06,-0536
1993,12,-0524
1993,18,-0519
1994,00,-0574
1995,12,-0478
1995,18,-0482
1996,00,-0532
1996,18,-0536
1998,06,-0643
1998,12,-0660
1998,18,-0644
1999,00,-0463
1999,06,-0485
1999,12,-0500
1999,18,-0504
2005,00,-0590
2005,06,-0590
2005,12,-0584
2005,18,-0574
