year,hour,temp
1957,00,-0542
1957,03,-0509
1957,06,-0486
1957,09,-0453
1957,12,-0448
1957,15,-0409
1957,18,-0386
1957,21,-0370
1958,00,-0497
1958,01,-0492
1958,02,-0497
1958,03,-0492
1958,04,-0497
1958,05,-0509
1958,06,-0514
1958,07,-0525
1958,08,-0525
1958,09,-0536
1958,10,-0547
1958,11,-0553
1958,12,-0570
1958,13,-0564
1958,14,-0570
1958,15,-0570
1958,16,-0575
1958,17,-0570
1958,18,-0581
1958,19,-0564
1958,20,-0559
1958,21,-0559
1958,22,-0564
1958,23,-0564
1959,00,-0503
1959,01,-0475
1959,02,-0459
1959,03,-0481
1959,04,-0520
1959,05,-0514
1959,06,-0520
1959,07,-0497
1959,08,-0509
1959,09,-0525
1959,10,-0542
1959,11,-0547
1959,12,-0536
1959,13,-0547
1959,14,-0542
1959,15,-0531
1959,16,-0531
1959,17,-0542
1959,18,-0531
1959,19,-0531
1959,20,-0536
1959,21,-0559
1959,22,-0542
1959,23,-0547
1960,00,-0559
1960,01,-0553
1960,02,-0553
1960,03,-0559
1960,04,-0559
1960,05,-0553
1960,06,-0547
1960,07,-0553
1960,08,-0559
1960,09,-0559
1960,10,-0570
1960,11,-0570
1960,12,-0564
1960,13,-0570
1960,14,-0570
1960,15,-0564
1960,16,-0575
1960,17,-0559
1960,18,-0564
1960,19,-0553
1960,20,-0542
1960,21,-0542
1960,22,-0547
1960,23,-0542
1961,00,-0542
1961,03,-0547
1961,06,-0559
1961,09,-0559
1961,12,-0553
1961,15,-0559
1961,18,-0592
1961,21,-0608
1962,00,-0692
1962,03,-0675
1962,06,-0670
1962,09,-0647
1962,12,-0653
1962,15,-0658
1962,18,-0664
1962,21,-0647
1963,00,-0503
1963,03,-0514
1963,06,-0522
1963,09,-0528
1963,12,-0561
1963,15,-0561
1963,18,-0550
1963,21,-0533
1964,00,-0639
1964,03,-0639
1964,06,-0644
1964,09,-0661
1964,12,-0656
1964,15,-0700
1964,18,-0683
1964,21,-0656
1965,00,-0481
1965,03,-0472
1965,06,-0448
1965,09,-0456
1965,12,-0448
1965,15,-0500
1965,18,-0481
1965,21,-0472
1966,00,-0528
1966,06,-0514
1966,12,-0539
1966,18,-0533
1967,00,-0622
1967,06,-0611
1967,12,-0578
1967,18,-0572
1968,00,-0617
1968,06,-0656
1968,12,-0672
1968,18,-0672
1969,00,-0606
1969,06,-0578
1969,12,-0617
1969,18,-0622
1970,00,-0572
1970,06,-0589
1970,12,-0611
1970,18,-0639
1971,00,-0658
1971,06,-0631
1971,12,-0614
1971,18,-0603
1972,00,-0675
1972,06,-0686
1972,12,-0697
1972,18,-0692
1973,00,-0608
1973,01,-0614
1973,02,-0597
1973,03,-0597
1973,04,-0603
1973,05,-0614
1973,06,-0608
1973,07,-0614
1973,08,-0608
1973,09,-0603
1973,10,-0608
1973,11,-0614
1973,12,-0608
1973,13,-0620
1973,14,-0620
1973,15,-0586
1973,16,-0603
1973,17,-0608
1973,18,-0614
1973,19,-0620
1973,20,-0620
1973,21,-0614
1973,22,-0603
1973,23,-0603
1974,00,-0503
1974,06,-0525
1974,12,-0553
1974,18,-0564
1975,00,-0708
1975,06,-0686
1975,12,-0686
1975,18,-0642
1976,00,-0603
1976,06,-0586
1976,12,-0564
1976,18,-0553
1977,00,-0344
1977,06,-0361
1977,12,-0339
1977,18,-0350
1978,00,-0600
1978,06,-0628
1978,12,-0644
1978,18,-0650
1979,00,-0689
1979,06,-0717
1979,12,-0650
1979,18,-0640
1980,00,-0689
1980,06,-0650
1980,12,-0572
1980,18,-0544
1981,00,-0444
1981,06,-0440
1981,12,-0500
1981,18,-0494
1982,00,-0757
1982,06,-0747
1982,12,-0752
1982,18,-0752
1983,00,-0394
1983,06,-0394
1983,12,-0411
1983,18,-0406
1984,00,-0594
1984,03,-0588
1984,06,-0577
1984,09,-0561
1984,12,-0544
1984,15,-0538
1984,18,-0533
1984,21,-0533
1985,00,-0550
1985,03,-0555
1985,06,-0556
1985,09,-0566
1985,12,-0594
1985,15,-0594
1985,18,-0599
1985,21,-0599
1986,00,-0594
1986,03,-0594
1986,06,-0588
1986,09,-0583
1986,12,-0566
1986,15,-0572
1986,18,-0577
1986,21,-0599
1987,18,-0638
1988,00,-0639
1988,18,-0509
1991,00,-0370
1992,00,-0591
1993,00,-0597
1993,06,-0598
1993,18,-0632
1994,00,-0511
1994,12,-0486
1995,00,-0554
1995,12,-0593
1996,00,-0550
1996,06,-0629
1996,12,-0618
1998,00,-0485
1998,12,-0646
1998,18,-0576
1999,00,-0498
1999,12,-0548
1999,18,-0575
2005,00,-0675
2005,06,-0700
2005,12,-0693
2005,18,-0670
2006,00,-0590
2006,06,-0580
2006,12,-0580
2006,18,-0590
2007,00,-0553
2007,06,-0562
2007,12,-0581
2007,18,-0554
2008,00,-0569
2008,06,-0561
2008,12,-0581
2008,18,-0606
2009,00,-0517
2009,06,-0508
2009,12,-0553
2009,18,-0587
2010,00,-0664
2010,06,-0653
2010,12,-0641
2010,18,-0660
2011,00,-0611
2011,06,-0629
2011,12,-0657
2011,18,-0652
2012,00,-0613
2012,06,-0595
2012,12,-0618
2012,18,-0581
2014,00,-0505
2014,06,-0490
2014,12,-0504
2014,18,-0525
2015,00,-0668
2015,06,-0637
2015,12,-0649
2015,18,-0567
2016,00,-0520
2016,06,-0546
2016,12,-0539
2016,18,-0533
2017,00,-0603
2017,06,-0614
2017,12,-0631
2017,18,-0623
2018,00,-0539
2018,06,-0529
2018,12,-0527
2018,18,-0514
2019,00,-0670
2019,06,-0665
2019,18,-0694
