year,hour,temp
1957,00,-0353
1957,03,-0353
1957,06,-0353
1957,09,-0359
1957,12,-0353
1957,15,-0356
1957,18,-0353
1957,21,-0364
1958,00,-0420
1958,01,-0420
1958,02,-0414
1958,03,-0406
1958,04,-0420
1958,05,-0414
1958,06,-0414
1958,07,-0420
1958,08,-0420
1958,09,-0420
1958,10,-0425
1958,11,-0425
1958,12,-0425
1958,13,-0425
1958,14,-0425
1958,15,-0425
1958,16,-0431
1958,17,-0431
1958,18,-0431
1958,19,-0431
1958,20,-0436
1958,21,-0436
1958,22,-0436
1958,23,-0436
1959,00,-0425
1959,01,-0425
1959,02,-0425
1959,03,-0420
1959,04,-0420
1959,05,-0420
1959,06,-0425
1959,07,-0420
1959,08,-0420
1959,09,-0409
1959,10,-0420
1959,11,-0425
1959,12,-0425
1959,13,-0425
1959,14,-0425
1959,15,-0425
1959,16,-0425
1959,17,-0425
1959,18,-0420
1959,19,-0431
1959,20,-0431
1959,21,-0436
1959,22,-0436
1959,23,-0436
1960,00,-0331
1960,01,-0337
1960,02,-0320
1960,03,-0320
1960,04,-0320
1960,05,-0320
1960,06,-0325
1960,07,-0325
1960,08,-0331
1960,09,-0337
1960,10,-0337
1960,11,-0337
1960,12,-0348
1960,13,-0342
1960,14,-0348
1960,15,-0364
1960,16,-0359
1960,17,-0359
1960,18,-0359
1960,19,-0359
1960,20,-0353
1960,21,-0342
1960,22,-0359
1960,23,-0364
1961,00,-0456
1961,01,-0456
1961,02,-0456
1961,03,-0456
1961,04,-0450
1961,05,-0450
1961,06,-0444
1961,07,-0456
1961,08,-0450
1961,09,-0444
1961,10,-0461
1961,11,-0456
1961,12,-0456
1961,13,-0444
1961,14,-0444
1961,15,-0439
1961,16,-0450
1961,17,-0444
1961,18,-0450
1961,19,-0467
1961,20,-0456
1961,21,-0444
1961,22,-0444
1961,23,-0444
1962,00,-0392
1962,03,-0409
1962,06,-0414
1962,09,-0414
1962,12,-0403
1962,15,-0409
1962,18,-0398
1962,21,-0375
1963,00,-0431
1963,03,-0425
1963,06,-0420
1963,09,-0431
1963,12,-0436
1963,15,-0436
1963,18,-0425
1963,21,-0431
1964,00,-0448
1964,03,-0450
1964,06,-0448
1964,09,-0448
1964,12,-0448
1964,15,-0442
1964,18,-0442
1964,21,-0442
1965,00,-0375
1965,03,-0370
1965,06,-0381
1965,09,-0386
1965,12,-0392
1965,15,-0386
1965,18,-0398
1965,21,-0398
1966,00,-0420
1966,06,-0436
1966,12,-0453
1966,15,-0459
1966,18,-0459
1966,21,-0459
1967,00,-0420
1967,03,-0420
1967,06,-0425
1967,09,-0425
1967,12,-0436
1967,15,-0425
1967,18,-0392
1967,21,-0375
1968,00,-0409
1968,03,-0409
1968,06,-0398
1968,09,-0392
1968,12,-0392
1968,15,-0403
1968,18,-0398
1968,21,-0398
1969,00,-0414
1969,03,-0420
1969,06,-0425
1969,09,-0431
1969,12,-0436
1969,15,-0436
1969,18,-0436
1969,21,-0436
1970,00,-0398
1970,03,-0403
1970,06,-0398
1970,09,-0403
1970,12,-0403
1970,15,-0403
1970,18,-0392
1970,21,-0398
1971,00,-0409
1971,03,-0409
1971,06,-0398
1971,09,-0375
1971,12,-0364
1971,15,-0375
1971,18,-0386
1971,21,-0403
1972,00,-0448
1972,03,-0442
1972,06,-0448
1972,09,-0448
1972,12,-0442
1972,15,-0442
1972,18,-0442
1972,21,-0436
1973,00,-0436
1973,01,-0431
1973,02,-0431
1973,03,-0439
1973,04,-0436
1973,05,-0442
1973,06,-0442
1973,07,-0436
1973,08,-0442
1973,09,-0439
1973,10,-0431
1973,11,-0431
1973,12,-0431
1973,13,-0431
1973,14,-0431
1973,15,-0433
1973,16,-0436
1973,17,-0436
1973,18,-0436
1973,19,-0436
1973,20,-0442
1973,21,-0450
1973,22,-0448
1973,23,-0448
1974,00,-0420
1974,03,-0436
1974,06,-0436
1974,09,-0431
1974,12,-0398
1974,15,-0386
1974,18,-0364
1974,21,-0386
1975,00,-0386
1975,06,-0386
1975,12,-0359
1975,18,-0325
1976,00,-0331
1976,06,-0325
1976,12,-0331
1976,18,-0325
1977,00,-0448
1977,03,-0456
1977,06,-0453
1977,09,-0439
1977,12,-0431
1977,15,-0433
1977,18,-0425
1977,21,-0439
1978,00,-0400
1978,03,-0406
1978,06,-0400
1978,09,-0394
1978,12,-0372
1978,15,-0356
1978,18,-0328
1978,21,-0300
1979,00,-0340
1979,06,-0330
1979,12,-0340
1979,18,-0340
1980,00,-0370
1980,06,-0380
1980,12,-0400
1980,18,-0410
1981,00,-0410
1981,06,-0410
1981,12,-0420
1981,18,-0430
1982,00,-0461
1982,06,-0461
1982,12,-0461
1982,18,-0461
1983,00,-0422
1983,03,-0428
1983,06,-0428
1983,09,-0428
1983,12,-0433
1983,15,-0433
1983,18,-0444
1983,21,-0456
1984,00,-0433
1984,03,-0427
1984,06,-0427
1984,09,-0444
1984,12,-0433
1984,15,-0455
1984,18,-0455
1984,21,-0450
1985,00,-0461
1985,03,-0461
1985,06,-0455
1985,09,-0461
