year,hour,temp
1957,00,-0287
1957,01,-0281
1957,02,-0281
1957,03,-0281
1957,04,-0275
1957,05,-0275
1957,06,-0275
1957,07,-0275
1957,08,-0275
1957,09,-0281
1957,10,-0281
1957,11,-0281
1957,12,-0281
1957,13,-0281
1957,14,-0275
1957,15,-0281
1957,16,-0275
1957,17,-0270
1957,18,-0270
1957,19,-0275
1957,20,-0275
1957,21,-0281
1957,22,-0287
1957,23,-0287
1958,00,-0364
1958,01,-0370
1958,02,-0370
1958,03,-0370
1958,04,-0375
1958,05,-0370
1958,06,-0370
1958,07,-0364
1958,08,-0364
1958,09,-0364
1958,10,-0364
1958,11,-0364
1958,12,-0364
1958,13,-0364
1958,14,-0359
1958,15,-0364
1958,16,-0359
1958,17,-0364
1958,18,-0364
1958,19,-0364
1958,20,-0364
1958,21,-0370
1958,22,-0364
1958,23,-0359
1959,00,-0337
1959,01,-0337
1959,02,-0337
1959,03,-0337
1959,04,-0320
1959,05,-0303
1959,06,-0298
1959,07,-0298
1959,08,-0287
1959,09,-0281
1959,10,-0281
1959,11,-0275
1959,12,-0270
1959,13,-0270
1959,14,-0264
1959,15,-0264
1959,16,-0264
1959,17,-0259
1959,18,-0264
1959,19,-0275
1959,20,-0292
1959,21,-0298
1959,22,-0298
1959,23,-0281
1960,00,-0322
1960,01,-0317
1960,02,-0317
1960,03,-0317
1960,04,-0322
1960,05,-0322
1960,06,-0322
1960,07,-0322
1960,08,-0322
1960,09,-0322
1960,10,-0322
1960,11,-0322
1960,12,-0322
1960,13,-0328
1960,14,-0328
1960,15,-0322
1960,16,-0328
1960,17,-0328
1960,18,-0328
1960,19,-0328
1960,20,-0322
1960,21,-0322
1960,22,-0328
1960,23,-0322
1961,00,-0314
1961,03,-0309
1961,06,-0303
1961,09,-0298
1961,12,-0298
1961,15,-0298
1961,18,-0292
1961,21,-0298
1962,00,-0331
1962,03,-0331
1962,06,-0337
1962,09,-0331
1962,12,-0325
1962,15,-0320
1962,18,-0314
1962,21,-0320
1963,00,-0314
1963,03,-0325
1963,06,-0320
1963,09,-0287
1963,12,-0270
1963,15,-0270
1963,18,-0275
1963,21,-0309
1964,00,-0309
1964,03,-0303
1964,06,-0303
1964,09,-0309
1964,12,-0303
1964,15,-0303
1964,18,-0303
1964,21,-0309
1965,00,-0298
1965,03,-0287
1965,06,-0292
1965,09,-0292
1965,12,-0298
1965,15,-0298
1965,18,-0303
1965,21,-0298
1966,00,-0314
1966,03,-0314
1966,06,-0314
1966,09,-0314
1966,12,-0314
1966,15,-0314
1966,18,-0320
1966,21,-0320
1967,00,-0309
1967,03,-0303
1967,06,-0303
1967,09,-0298
1967,12,-0303
1967,15,-0298
1967,18,-0287
1967,21,-0281
1968,00,-0342
1968,03,-0342
1968,06,-0342
1968,09,-0337
1968,12,-0337
1968,15,-0337
1968,18,-0337
1968,21,-0342
1969,00,-0320
1969,03,-0314
1969,06,-0320
1969,09,-0309
1969,12,-0309
1969,15,-0303
1969,18,-0314
1969,21,-0320
1970,00,-0325
1970,03,-0331
1970,06,-0331
1970,09,-0342
1970,12,-0337
1970,15,-0325
1970,18,-0331
1970,21,-0331
1971,00,-0303
1971,03,-0298
1971,06,-0292
1971,09,-0275
1971,12,-0275
1971,15,-0281
1971,18,-0270
1971,21,-0287
1972,00,-0342
1972,03,-0344
1972,06,-0337
1972,09,-0317
1972,12,-0314
1972,15,-0317
1972,18,-0320
1972,21,-0311
1973,00,-0303
1973,01,-0309
1973,02,-0309
1973,03,-0298
1973,04,-0298
1973,05,-0298
1973,06,-0298
1973,07,-0298
1973,08,-0287
1973,09,-0292
1973,10,-0298
1973,11,-0298
1973,12,-0292
1973,13,-0292
1973,14,-0292
1973,15,-0303
1973,16,-0298
1973,17,-0303
1973,18,-0309
1973,19,-0314
1973,20,-0314
1973,21,-0314
1973,22,-0320
1973,23,-0325
1974,00,-0231
1974,03,-0237
1974,06,-0253
1974,09,-0267
1974,12,-0270
1974,15,-0275
1974,18,-0278
1974,21,-0278
1975,00,-0314
1975,03,-0306
1975,06,-0298
1975,09,-0317
1975,12,-0275
1975,15,-0289
1975,18,-0287
1975,21,-0283
1976,00,-0264
1976,06,-0264
1976,12,-0281
1976,18,-0287
1977,00,-0333
1977,03,-0339
1977,06,-0333
1977,09,-0333
1977,12,-0327
1977,15,-0317
1977,18,-0305
1977,21,-0300
1978,00,-0361
1978,03,-0372
1978,06,-0372
1978,09,-0372
1978,12,-0378
1978,15,-0378
1978,18,-0378
1978,21,-0378
1979,00,-0330
1979,03,-0320
1979,06,-0322
1979,09,-0330
1979,12,-0330
1979,15,-0330
1979,18,-0330
1979,21,-0340
1980,00,-0260
1980,03,-0256
1980,06,-0256
1980,09,-0250
1980,12,-0260
1980,15,-0260
1980,18,-0260
1980,21,-0250
1981,00,-0320
1981,03,-0320
1981,06,-0320
1981,09,-0320
1981,12,-0320
1981,15,-0310
1981,18,-0310
1981,21,-0320
1982,00,-0300
1982,03,-0306
1982,06,-0306
1982,09,-0311
1982,12,-0311
1982,15,-0317
1982,18,-0317
1982,21,-0317
1983,00,-0361
1983,03,-0367
1983,06,-0361
1983,09,-0361
1983,12,-0361
1983,15,-0356
1983,18,-0356
1983,21,-0350
1984,00,-0327
1984,03,-0322
1984,06,-0322
1984,09,-0316
1984,12,-0327
1984,15,-0333
1984,18,-0316
1984,21,-0322
1985,00,-0366
1985,03,-0361
1985,06,-0355
1985,09,-0355
1985,12,-0355
1985,15,-0355
1985,18,-0339
1985,21,-0333
1986,00,-0344
1986,03,-0344
1986,06,-0344
1986,09,-0339
1986,12,-0333
1986,15,-0339
1986,18,-0339
1986,21,-0344
1987,00,-0325
1987,06,-0311
1987,12,-0314
1987,18,-0314
1988,00,-0338
1988,06,-0328
1988,12,-0346
1990,12,-0257
1991,00,-0326
1991,12,-0299
1991,18,-0281
1992,06,-0325
1992,18,-0352
1993,00,-0372
1993,06,-0374
1993,12,-0374
