year,hour,temp
1957,00,-0631
1957,03,-0597
1957,06,-0570
1957,09,-0547
1957,12,-0514
1957,15,-0503
1957,18,-0497
1957,21,-0492
1958,00,-0564
1958,01,-0553
1958,02,-0536
1958,03,-0525
1958,04,-0525
1958,05,-0525
1958,06,-0520
1958,07,-0514
1958,08,-0509
1958,09,-0503
1958,10,-0497
1958,11,-0492
1958,12,-0486
1958,13,-0486
1958,14,-0486
1958,15,-0486
1958,16,-0486
1958,17,-0481
1958,18,-0470
1958,19,-0470
1958,20,-0470
1958,21,-0475
1958,22,-0475
1958,23,-0475
1959,00,-0570
1959,01,-0570
1959,02,-0570
1959,03,-0559
1959,04,-0559
1959,05,-0559
1959,06,-0559
1959,07,-0564
1959,08,-0564
1959,09,-0586
1959,10,-0581
1959,11,-0586
1959,12,-0608
1959,13,-0608
1959,14,-0608
1959,15,-0631
1959,16,-0625
1959,17,-0625
1959,18,-0603
1959,19,-0620
1959,20,-0597
1959,21,-0597
1959,22,-0597
1959,23,-0597
1960,00,-0608
1960,01,-0603
1960,02,-0614
1960,03,-0614
1960,04,-0608
1960,05,-0592
1960,06,-0597
1960,07,-0597
1960,08,-0592
1960,09,-0586
1960,10,-0592
1960,11,-0597
1960,12,-0592
1960,13,-0597
1960,14,-0592
1960,15,-0592
1960,16,-0586
1960,17,-0597
1960,18,-0592
1960,19,-0597
1960,20,-0608
1960,21,-0620
1960,22,-0631
1960,23,-0603
1961,00,-0559
1961,03,-0536
1961,06,-0525
1961,09,-0492
1961,12,-0492
1961,15,-0464
1961,18,-0486
1961,21,-0481
1962,00,-0675
1962,03,-0670
1962,06,-0647
1962,09,-0653
1962,12,-0653
1962,15,-0620
1962,18,-0625
1962,21,-0636
1963,00,-0503
1963,03,-0497
1963,06,-0509
1963,09,-0522
1963,12,-0514
1963,15,-0528
1963,18,-0533
1963,21,-0539
1964,00,-0656
1964,03,-0661
1964,06,-0661
1964,09,-0678
1964,12,-0650
1964,15,-0639
1964,18,-0633
1964,21,-0633
1965,00,-0594
1965,03,-0583
1965,06,-0600
1965,09,-0611
1965,12,-0594
1965,15,-0561
1965,18,-0583
1965,21,-0583
1966,00,-0667
1966,06,-0589
1966,12,-0583
1966,18,-0567
1967,00,-0503
1967,06,-0522
1967,12,-0528
1967,18,-0539
1968,00,-0442
1968,06,-0486
1968,12,-0486
1968,18,-0561
1969,00,-0403
1969,06,-0425
1969,12,-0464
1969,18,-0459
1970,00,-0567
1970,06,-0567
1970,12,-0578
1970,18,-0544
1971,00,-0453
1971,06,-0436
1971,12,-0436
1971,18,-0420
1972,00,-0592
1972,06,-0509
1972,12,-0464
1972,18,-0497
1973,00,-0603
1973,01,-0597
1973,02,-0597
1973,03,-0592
1973,04,-0597
1973,05,-0597
1973,06,-0597
1973,07,-0597
1973,08,-0597
1973,09,-0603
1973,10,-0603
1973,11,-0608
1973,12,-0608
