year,hour,temp
1957,00,-0486
1957,03,-0492
1957,06,-0509
1957,09,-0503
1957,12,-0520
1957,15,-0514
1957,18,-0525
1957,21,-0509
1958,00,-0631
1958,01,-0631
1958,02,-0631
1958,03,-0625
1958,04,-0620
1958,05,-0614
1958,06,-0614
1958,07,-0625
1958,08,-0625
1958,09,-0636
1958,10,-0642
1958,11,-0636
1958,12,-0642
1958,13,-0631
1958,14,-0625
1958,15,-0631
1958,16,-0625
1958,17,-0625
1958,18,-0625
1958,19,-0620
1958,20,-0614
1958,21,-0614
1958,22,-0608
1958,23,-0620
1959,00,-0486
1959,01,-0503
1959,02,-0509
1959,03,-0509
1959,04,-0497
1959,05,-0503
1959,06,-0503
1959,07,-0497
1959,08,-0509
1959,09,-0503
1959,10,-0503
1959,11,-0503
1959,12,-0497
1959,13,-0497
1959,14,-0503
1959,15,-0509
1959,16,-0525
1959,17,-0536
1959,18,-0536
1959,19,-0536
1959,20,-0547
1959,21,-0553
1959,22,-0553
1959,23,-0553
1960,00,-0608
1960,01,-0592
1960,02,-0608
1960,03,-0597
1960,04,-0603
1960,05,-0614
1960,06,-0603
1960,07,-0603
1960,08,-0608
1960,09,-0597
1960,10,-0597
1960,11,-0603
1960,12,-0592
1960,13,-0586
1960,14,-0581
1960,15,-0603
1960,16,-0586
1960,17,-0575
1960,18,-0575
1960,19,-0575
1960,20,-0581
1960,21,-0592
1960,22,-0603
1960,23,-0603
1961,00,-0692
1961,03,-0692
1961,06,-0708
1961,09,-0692
1961,12,-0714
1961,15,-0708
1961,18,-0708
1961,21,-0703
1962,00,-0592
1962,03,-0603
1962,06,-0592
1962,09,-0575
1962,12,-0592
1962,15,-0620
1962,18,-0620
1962,21,-0642
1963,00,-0611
1963,03,-0628
1963,06,-0633
1963,09,-0633
1963,12,-0639
1963,15,-0656
1963,18,-0667
1963,21,-0639
1964,00,-0386
1964,03,-0383
1964,06,-0370
1964,09,-0364
1964,12,-0353
1964,15,-0353
1964,18,-0364
1964,21,-0375
1965,00,-0767
1965,03,-0767
1965,06,-0739
1965,09,-0717
1965,12,-0728
1965,15,-0711
1965,18,-0717
1965,21,-0717
1966,00,-0539
1966,06,-0528
1966,12,-0544
1966,18,-0578
1967,00,-0567
1967,06,-0567
1967,12,-0539
1967,18,-0528
1968,00,-0561
1968,06,-0572
1968,12,-0606
1968,18,-0606
1969,00,-0600
1969,06,-0594
1969,12,-0594
1969,18,-0611
1970,00,-0722
1970,06,-0728
1970,12,-0734
1970,18,-0739
1971,00,-0570
1971,06,-0564
1971,12,-0514
1971,18,-0553
1972,00,-0620
1972,06,-0592
1972,12,-0603
1972,18,-0647
1973,00,-0581
1973,01,-0597
1973,02,-0620
1973,03,-0614
1973,04,-0603
1973,05,-0614
1973,06,-0631
1973,07,-0614
1973,08,-0614
1973,09,-0614
1973,10,-0608
1973,11,-0625
1973,12,-0614
1973,13,-0620
1973,14,-0625
1973,15,-0631
1973,16,-0647
1973,17,-0614
1973,18,-0625
1973,19,-0642
1973,20,-0647
1973,21,-0636
1973,22,-0625
1973,23,-0597
1974,00,-0509
1974,06,-0525
1974,12,-0564
1974,18,-0575
1975,00,-0592
1975,06,-0575
1975,12,-0542
1975,18,-0536
1976,00,-0536
1976,06,-0536
1976,12,-0525
1976,18,-0520
1977,00,-0627
1977,06,-0610
1977,12,-0622
1977,18,-0605
1978,00,-0667
1978,06,-0667
1978,12,-0667
1978,18,-0683
1979,00,-0610
1979,06,-0628
1979,12,-0650
1979,18,-0694
1980,00,-0570
1980,06,-0583
1980,12,-0561
1980,18,-0594
1981,00,-0672
1981,06,-0672
1981,12,-0633
1981,18,-0644
1982,00,-0456
1982,06,-0444
1982,12,-0456
1982,18,-0522
1983,00,-0628
1983,06,-0650
1983,12,-0628
1983,18,-0594
1984,00,-0527
1984,03,-0527
1984,06,-0533
1984,09,-0544
1984,12,-0544
1984,15,-0544
1984,18,-0555
1984,21,-0566
1985,00,-0394
1985,03,-0366
1985,06,-0361
1985,09,-0383
1985,12,-0438
1985,15,-0488
1985,18,-0527
1985,21,-0544
1986,00,-0555
1986,03,-0572
1986,06,-0549
1986,09,-0549
1986,12,-0555
1986,15,-0544
1986,18,-0549
1986,21,-0555
1988,06,-0668
1988,12,-0678
1992,00,-0531
1992,06,-0532
1992,12,-0578
1993,00,-0517
1993,18,-0527
1994,00,-0546
1995,00,-0539
1995,18,-0566
1999,12,-0596
1999,18,-0588
2005,00,-0618
2005,06,-0594
2005,12,-0583
2005,18,-0605
2006,00,-0560
2006,06,-0590
2006,12,-0590
2006,18,-0640
2007,00,-0472
2007,06,-0483
2007,12,-0508
2007,18,-0531
2008,00,-0481
2008,06,-0433
2008,12,-0423
2008,18,-0409
2009,00,-0575
2009,06,-0588
2009,12,-0592
2009,18,-0590
2010,00,-0665
2010,06,-0682
2010,12,-0696
2010,18,-0689
2011,00,-0691
2011,06,-0685
2011,12,-0678
2011,18,-0626
2012,00,-0521
2012,06,-0527
2012,12,-0521
2012,18,-0519
2014,18,-0590
2015,00,-0575
2015,06,-0590
2015,12,-0575
2015,18,-0594
2016,00,-0670
2016,06,-0698
2016,12,-0711
2016,18,-0707
2017,00,-0584
2017,06,-0586
2017,12,-0593
2017,18,-0613
2018,00,-0557
2018,06,-0562
2018,12,-0545
2018,18,-0558
2019,00,-0567
2019,06,-0551
2019,12,-0559
2019,18,-0578
