year,hour,temp
1957,00,-0486
1957,03,-0514
1957,06,-0536
1957,09,-0542
1957,12,-0564
1957,15,-0575
1957,18,-0586
1957,21,-0592
1958,00,-0608
1958,01,-0597
1958,02,-0592
1958,03,-0586
1958,04,-0586
1958,05,-0586
1958,06,-0597
1958,07,-0603
1958,08,-0614
1958,09,-0620
1958,10,-0620
1958,11,-0620
1958,12,-0608
1958,13,-0614
1958,14,-0614
1958,15,-0603
1958,16,-0608
1958,17,-0603
1958,18,-0597
1958,19,-0592
1958,20,-0581
1958,21,-0575
1958,22,-0575
1958,23,-0575
1959,00,-0575
1959,01,-0575
1959,02,-0586
1959,03,-0592
1959,04,-0592
1959,05,-0592
1959,06,-0592
1959,07,-0597
1959,08,-0597
1959,09,-0586
1959,10,-0575
1959,11,-0575
1959,12,-0570
1959,13,-0581
1959,14,-0575
1959,15,-0575
1959,16,-0581
1959,17,-0592
1959,18,-0592
1959,19,-0592
1959,20,-0581
1959,21,-0581
1959,22,-0581
1959,23,-0581
1960,00,-0631
1960,01,-0636
1960,02,-0608
1960,03,-0620
1960,04,-0620
1960,05,-0614
1960,06,-0603
1960,07,-0608
1960,08,-0608
1960,09,-0603
1960,10,-0592
1960,11,-0570
1960,12,-0581
1960,13,-0570
1960,14,-0564
1960,15,-0564
1960,16,-0559
1960,17,-0559
1960,18,-0559
1960,19,-0559
1960,20,-0564
1960,21,-0559
1960,22,-0559
1960,23,-0564
1961,00,-0514
1961,03,-0547
1961,06,-0520
1961,09,-0559
1961,12,-0592
1961,15,-0581
1961,18,-0575
1961,21,-0603
1962,00,-0470
1962,03,-0453
1962,06,-0442
1962,09,-0431
1962,12,-0442
1962,15,-0431
1962,18,-0425
1962,21,-0414
1963,00,-0667
1963,03,-0667
1963,06,-0678
1963,09,-0656
1963,12,-0633
1963,15,-0617
1963,18,-0606
1963,21,-0622
1964,00,-0486
1964,03,-0478
1964,06,-0464
1964,09,-0459
1964,12,-0459
1964,15,-0464
1964,18,-0470
1964,21,-0459
1965,00,-0567
1965,03,-0572
1965,06,-0583
1965,09,-0583
1965,12,-0583
1965,15,-0572
1965,18,-0561
1965,21,-0567
1966,00,-0633
1966,06,-0639
1966,12,-0650
1966,18,-0650
1967,00,-0611
1967,06,-0611
1967,12,-0594
1967,18,-0583
1968,00,-0600
1968,06,-0606
1968,12,-0583
1968,18,-0611
1969,00,-0550
1969,06,-0556
1969,12,-0583
1969,18,-0589
1970,00,-0533
1970,06,-0533
1970,12,-0533
1970,18,-0539
1971,00,-0486
1971,06,-0514
1971,12,-0536
1971,18,-0547
1972,00,-0658
1972,06,-0625
1972,12,-0620
1972,18,-0642
1973,00,-0620
1973,01,-0620
1973,02,-0614
1973,03,-0614
1973,04,-0608
1973,05,-0614
1973,06,-0608
1973,07,-0608
1973,08,-0608
1973,09,-0608
1973,10,-0608
1973,11,-0603
1973,12,-0603
1973,13,-0592
1973,14,-0592
1973,15,-0597
1973,16,-0603
1973,17,-0603
1973,18,-0620
1973,19,-0614
1973,20,-0608
1973,21,-0603
1973,22,-0597
1973,23,-0581
1974,00,-0348
1974,06,-0364
1974,12,-0386
1974,18,-0392
1975,00,-0525
1975,06,-0586
1975,12,-0625
1975,18,-0642
1976,00,-0681
1976,06,-0658
1976,12,-0586
1976,18,-0636
1977,00,-0555
1977,06,-0583
1977,12,-0577
1977,18,-0561
1978,00,-0567
1978,06,-0550
1978,12,-0539
1978,18,-0506
1979,00,-0600
1979,06,-0570
1979,12,-0570
1979,18,-0583
1980,00,-0530
1980,06,-0522
1980,12,-0570
1980,18,-0590
1981,00,-0670
1981,06,-0670
1981,12,-0660
1981,18,-0600
1982,00,-0583
1982,06,-0589
1982,12,-0622
1982,18,-0622
1983,00,-0611
1983,06,-0628
1983,12,-0644
1983,18,-0633
1984,00,-0505
1984,03,-0488
1984,06,-0483
1984,09,-0472
1984,12,-0494
1984,15,-0499
1984,18,-0499
1984,21,-0527
1985,00,-0716
1985,03,-0705
1985,06,-0710
1985,09,-0710
1985,12,-0716
1985,15,-0683
1985,18,-0655
1985,21,-0655
1986,00,-0633
1986,03,-0616
1986,06,-0616
1986,09,-0522
1986,12,-0488
1986,15,-0472
1986,18,-0511
1986,21,-0533
1987,00,-0605
1987,06,-0592
1987,12,-0586
1987,18,-0560
1991,00,-0606
1991,06,-0603
1992,00,-0636
1992,06,-0639
1992,12,-0649
1992,18,-0642
1993,00,-0477
1993,18,-0499
1994,00,-0397
1994,09,-0397
1994,12,-0412
1995,00,-0605
1995,12,-0627
1995,18,-0585
1996,00,-0554
1996,06,-0537
1996,12,-0506
1996,18,-0508
1998,00,-0498
1998,06,-0465
1998,18,-0440
1999,18,-0451
2005,00,-0690
2005,06,-0683
2005,12,-0686
2005,18,-0638
2006,00,-0420
2006,06,-0420
2006,12,-0410
2006,18,-0390
2007,00,-0529
2007,06,-0541
2007,12,-0541
2007,18,-0567
2008,00,-0560
2008,06,-0567
2008,12,-0609
2008,18,-0590
2009,00,-0445
2009,06,-0490
2009,12,-0534
2009,18,-0566
2010,00,-0415
2010,06,-0414
2010,12,-0430
2010,18,-0425
2011,00,-0666
2011,06,-0670
2011,12,-0664
2011,18,-0672
2012,00,-0606
2012,06,-0631
2012,12,-0648
2012,18,-0619
2014,00,-0512
2014,06,-0553
2014,12,-0573
2014,18,-0586
2015,00,-0614
2015,06,-0634
2015,12,-0617
2015,18,-0652
2016,00,-0558
2016,06,-0514
