year,hour,temp
1957,00,-0564
1957,03,-0575
1957,06,-0520
1957,09,-0547
1957,12,-0514
1957,15,-0509
1957,18,-0525
1957,21,-0559
1958,00,-0719
1958,01,-0714
1958,02,-0714
1958,03,-0714
1958,04,-0708
1958,05,-0719
1958,06,-0719
1958,07,-0725
1958,08,-0719
1958,09,-0725
1958,10,-0719
1958,11,-0719
1958,12,-0708
1958,13,-0708
1958,14,-0703
1958,15,-0692
1958,16,-0692
1958,17,-0692
1958,18,-0692
1958,19,-0714
1958,20,-0708
1958,21,-0719
1958,22,-0703
1958,23,-0681
1959,00,-0603
1959,01,-0597
1959,02,-0614
1959,03,-0620
1959,04,-0603
1959,05,-0608
1959,06,-0614
1959,07,-0620
1959,08,-0614
1959,09,-0608
1959,10,-0631
1959,11,-0625
1959,12,-0625
1959,13,-0603
1959,14,-0620
1959,15,-0614
1959,16,-0608
1959,17,-0608
1959,18,-0620
1959,19,-0625
1959,20,-0636
1959,21,-0636
1959,22,-0647
1959,23,-0642
1960,00,-0559
1960,01,-0564
1960,02,-0570
1960,03,-0581
1960,04,-0597
1960,05,-0592
1960,06,-0592
1960,07,-0603
1960,08,-0592
1960,09,-0603
1960,10,-0608
1960,11,-0608
1960,12,-0608
1960,13,-0597
1960,14,-0592
1960,15,-0581
1960,16,-0575
1960,17,-0564
1960,18,-0564
1960,19,-0559
1960,20,-0553
1960,21,-0553
1960,22,-0553
1960,23,-0553
1961,00,-0392
1961,03,-0409
1961,06,-0431
1961,09,-0464
1961,12,-0453
1961,15,-0470
1961,18,-0481
1961,21,-0453
1962,00,-0453
1962,03,-0431
1962,06,-0409
1962,09,-0398
1962,12,-0386
1962,15,-0403
1962,18,-0409
1962,21,-0398
1963,00,-0617
1963,03,-0600
1963,06,-0594
1963,09,-0617
1963,12,-0617
1963,15,-0633
1963,18,-0650
1963,21,-0661
1964,00,-0550
1964,03,-0556
1964,06,-0561
1964,09,-0567
1964,12,-0561
1964,15,-0550
1964,18,-0539
1964,21,-0497
1965,00,-0544
