year,hour,temp
1973,11,+0105
1973,12,+0105
1973,13,+0105
1973,14,+0105
1973,16,+0144
1973,17,+0177
1973,18,+0200
1973,21,+0238
1973,22,+0233
1974,00,+0144
1974,10,+0044
1974,11,+0094
1974,12,+0122
1974,13,+0144
1974,14,+0167
1974,15,+0211
1974,16,+0228
1974,17,+0228
1974,18,+0239
1974,19,+0250
1974,20,+0250
1974,21,+0250
1974,22,+0250
1974,23,+0233
1975,17,+0033
1975,19,+0050
1975,20,+0056
1975,21,+0056
1975,22,+0050
1975,23,+0039
1981,21,+0033
1982,00,+0167
1982,01,+0156
1982,02,+0150
1982,03,+0150
1982,11,+0067
1982,12,+0056
1982,13,+0044
1982,14,+0033
1982,15,+0039
1982,16,+0050
1982,17,+0061
1982,18,+0056
1982,19,+0078
1982,20,+0067
1982,21,+0061
1982,22,+0050
1982,23,+0050
1983,00,+0000
1983,01,+0000
1983,02,+0000
1983,11,-0016
1983,12,-0010
1983,13,-0005
1983,14,+0000
1983,15,+0006
1983,17,+0022
1983,19,+0039
1983,20,+0044
1983,21,+0039
1983,22,+0028
1983,23,+0022
1984,00,+0083
1984,01,+0083
1984,02,+0078
1984,03,+0078
1984,11,+0022
1984,12,+0022
1984,13,+0028
1984,14,+0022
1984,15,+0033
1984,16,+0044
1984,17,+0050
1984,18,+0061
1984,19,+0067
1984,20,+0078
1984,22,+0078
1984,23,+0083
1985,00,+0183
1985,01,+0150
1985,02,+0133
1985,03,+0122
1985,11,+0100
1985,12,+0122
1985,13,+0172
1985,14,+0211
1985,15,+0239
1985,16,+0250
1985,17,+0261
1985,18,+0261
1985,20,+0267
1985,21,+0272
1985,22,+0261
1985,23,+0256
1986,00,+0156
1986,01,+0156
1986,03,+0144
1986,11,+0117
1986,12,+0122
1986,13,+0128
1986,14,+0128
1986,15,+0139
1986,16,+0144
1986,17,+0111
1986,18,+0111
1986,19,+0128
1986,20,+0122
1986,21,+0122
1986,22,+0111
1986,23,+0111
1987,00,+0228
1987,01,+0206
1987,10,+0139
1987,11,+0144
1987,12,+0161
1987,13,+0183
1987,14,+0211
1987,15,+0228
1987,16,+0244
1987,17,+0261
1987,18,+0267
1987,19,+0278
1987,21,+0289
1987,22,+0283
1987,23,+0267
1988,00,+0094
1988,01,+0089
1988,02,+0089
1988,10,+0044
1988,11,+0033
1988,12,+0028
1988,13,+0022
1988,14,+0017
1988,15,+0022
1988,17,+0033
1988,18,+0028
1988,19,+0033
1988,21,+0039
1988,22,+0039
1988,23,+0050
1989,00,+0111
1989,01,+0083
1989,02,+0067
1989,10,+0017
1989,11,+0017
1989,12,+0039
1989,13,+0072
1989,14,+0089
1989,15,+0106
1989,16,+0111
1989,17,+0133
1989,18,+0133
1989,19,+0139
1989,20,+0139
1989,21,+0139
1989,22,+0133
1989,23,+0111
1990,00,+0144
1990,01,+0139
1990,02,+0122
1990,03,+0106
1990,10,+0117
1990,11,+0111
1990,12,+0100
1990,13,+0100
1990,15,+0089
1990,16,+0100
1990,17,+0100
1990,18,+0100
1990,19,+0100
1990,20,+0100
1990,21,+0094
1990,22,+0100
1990,23,+0100
1991,00,+0056
1991,01,+0061
1991,02,+0061
1991,10,+0056
1991,11,+0044
1991,12,+0050
1991,13,+0050
1991,14,+0056
1991,16,+0050
1991,17,+0044
1991,18,+0050
1991,19,+0044
1991,20,+0044
1991,21,+0044
1991,22,+0044
1991,23,+0033
1992,00,+0167
1992,01,+0161
1992,02,+0156
1992,10,+0150
1992,11,+0150
1992,12,+0156
1992,13,+0167
1992,14,+0189
1992,15,+0211
1992,16,+0206
1992,17,+0217
1992,18,+0206
1992,19,+0211
1992,20,+0206
1992,21,+0194
1992,22,+0178
1992,23,+0183
1993,00,+0155
1993,01,+0144
1993,02,+0138
1993,10,+0105
1993,11,+0100
1993,12,+0100
1993,13,+0100
1993,15,+0100
1993,16,+0100
