year,hour,temp
1946,00,+0052
1946,01,+0058
1946,02,+0069
1946,03,+0069
1946,04,+0091
1946,05,+0124
1946,06,+0130
1946,07,+0135
1946,08,+0146
1946,09,+0146
1946,10,+0135
1946,11,+0130
1946,12,+0113
1946,13,+0091
1946,14,+0091
1946,15,+0080
1946,16,+0063
1946,17,+0063
1946,18,+0069
1946,19,+0063
1946,20,+0058
1946,21,+0058
1946,22,+0063
1946,23,+0058
1947,00,+0035
1947,01,+0046
1947,02,+0069
1947,03,+0091
1947,04,+0102
1947,05,+0046
1947,06,+0113
1947,07,+0124
1947,08,+0124
1947,09,+0119
1947,10,+0135
1947,11,+0119
1947,12,+0102
1947,13,+0091
1947,14,+0058
1947,15,+0046
1947,16,+0046
1947,17,+0063
1947,18,+0052
1947,19,+0046
1947,20,+0024
1947,21,+0008
1947,22,-0009
1947,23,-0009
1957,00,+0011
1957,03,+0078
1957,06,+0122
1957,09,+0111
1957,12,+0050
1957,15,+0039
1957,18,-0011
1957,21,-0028
1958,00,+0028
1958,03,+0111
1958,06,+0128
1958,09,+0122
1958,12,+0078
1958,15,+0050
1958,18,+0022
1958,21,+0000
1959,00,+0122
1959,06,+0178
1959,09,+0189
1959,12,+0161
1959,15,+0122
1959,18,+0089
1959,21,+0072
1960,00,+0011
1960,03,+0072
1960,06,+0139
1960,09,+0128
1960,12,+0089
1960,15,+0072
1960,18,+0050
1960,21,+0022
1961,00,+0050
1961,06,+0039
1961,09,+0039
1961,12,+0039
1961,15,+0039
1961,18,+0039
1961,21,+0028
1962,00,+0000
1962,03,+0039
1962,06,+0050
1962,09,+0028
1962,12,+0000
1962,15,+0000
1962,18,-0022
1962,21,-0039
1963,00,+0050
1963,03,+0150
1963,06,+0189
1963,09,+0189
1963,12,+0139
1963,15,+0122
1963,18,+0100
1963,21,+0078
1964,00,+0011
1964,03,+0078
1964,06,+0128
1964,09,+0128
1964,12,+0128
1964,15,+0111
1964,18,+0100
1964,21,+0089
1973,00,+0020
1973,03,+0090
1973,06,+0130
1973,09,+0140
1973,12,+0090
1973,15,+0080
1973,18,+0070
1973,21,+0050
1974,00,+0020
1974,03,+0090
1974,06,+0100
1974,09,+0100
1974,12,+0070
1974,15,+0050
1974,18,+0030
1974,21,+0020
1975,00,+0030
1975,03,+0090
1975,06,+0140
1975,09,+0130
1975,12,+0080
1975,15,+0050
1975,18,+0010
1975,21,-0010
1976,00,+0010
1976,03,+0020
1976,06,+0040
1976,09,+0040
1976,12,+0040
1976,15,+0030
1976,18,+0000
1976,21,+0050
1977,00,+0000
1977,03,+0050
1977,06,+0080
1977,09,+0110
1977,12,+0070
1977,15,+0040
1977,18,+0020
1977,21,+0020
1978,00,+0040
1978,03,+0160
1978,06,+0210
1978,09,+0200
1978,12,+0140
1978,15,+0090
1978,18,+0070
1978,21,+0040
1979,00,+0020
1979,03,+0120
1979,06,+0150
1979,09,+0140
1979,12,+0070
1979,15,+0050
1979,18,+0020
1979,21,+0010
1980,00,+0060
1980,03,+0100
1980,06,+0120
1980,09,+0130
1980,12,+0090
1980,15,+0060
1980,18,+0020
1980,21,+0010
1981,00,+0080
1981,03,+0100
1981,06,+0170
1981,09,+0100
1981,12,+0080
1981,15,+0060
1981,18,+0040
1981,21,+0030
1982,00,-0004
1982,03,+0035
1982,06,+0082
1982,09,+0084
1982,12,+0072
1982,15,+0029
1982,18,+0019
1982,21,+0003
1983,00,+0025
1983,03,+0074
1983,06,+0114
1983,09,+0121
1983,12,+0085
1983,15,+0066
1983,18,+0068
1983,21,+0046
1984,00,-0017
1984,03,+0024
1984,06,+0054
1984,09,+0057
1984,12,+0046
1984,15,+0002
1984,18,-0003
1984,21,-0026
1985,00,+0033
1985,03,+0081
1985,05,+0112
1985,06,+0111
1985,09,+0112
1985,12,+0082
1985,15,+0061
1985,18,+0035
1985,21,-0019
1986,00,+0047
1986,03,+0095
1986,04,+0110
1986,05,+0130
1986,06,+0144
1986,07,+0160
1986,08,+0150
1986,09,+0155
1986,12,+0131
1986,15,+0080
1986,18,+0070
1986,21,+0066
1987,00,-0019
1987,03,+0030
1987,06,+0070
1987,09,+0073
1987,12,+0053
1987,15,+0021
1987,18,+0007
1987,21,+0003
1988,00,-0011
1988,01,+0060
1988,02,+0080
1988,03,+0087
1988,04,+0100
1988,05,+0110
1988,06,+0120
1988,07,+0120
1988,08,+0110
1988,09,+0100
1988,10,+0090
1988,11,+0080
1988,12,+0090
1988,13,+0050
1988,14,+0030
1988,15,+0020
1988,16,+0010
1988,17,+0010
1988,18,+0021
1988,21,+0005
1988,23,-0010
1989,00,+0045
1989,01,+0090
1989,02,+0120
1989,03,+0125
1989,04,+0160
1989,05,+0170
1989,06,+0151
1989,07,+0160
1989,08,+0160
1989,09,+0153
1989,10,+0140
1989,11,+0130
1989,12,+0129
1989,13,+0110
1989,14,+0110
1989,15,+0100
1989,16,+0080
1989,18,+0077
1989,20,+0060
1989,21,+0067
1989,22,+0060
1989,23,+0060
1990,00,+0067
1990,02,+0120
1990,03,+0095
1990,04,+0140
1990,05,+0150
1990,06,+0109
1990,07,+0150
1990,09,+0105
1990,10,+0110
1990,11,+0090
1990,12,+0090
1990,13,+0090
1990,15,+0071
1990,18,+0057
1990,21,+0050
1990,23,+0050
1991,00,+0089
1991,01,+0110
1991,02,+0120
1991,03,+0130
1991,04,+0150
1991,05,+0160
1991,06,+0151
1991,07,+0170
1991,08,+0160
1991,09,+0154
1991,10,+0130
1991,11,+0100
1991,12,+0091
1991,13,+0070
1991,14,+0070
1991,15,+0069
1991,16,+0060
1991,18,+0062
1991,21,+0056
1991,22,+0050
1991,23,+0060
1992,00,+0084
1992,01,+0090
1992,02,+0120
1992,03,+0127
1992,04,+0140
1992,05,+0150
1992,06,+0156
1992,07,+0160
1992,08,+0150
1992,09,+0148
1992,10,+0140
1992,11,+0120
1992,12,+0124
1992,13,+0100
1992,14,+0100
1992,15,+0092
1992,16,+0090
1992,18,+0059
1992,20,+0020
1992,21,+0046
1992,23,+0030
1993,00,+0110
1993,01,+0120
1993,02,+0140
1993,03,+0146
1993,04,+0160
1993,05,+0170
1993,06,+0170
1993,07,+0170
1993,08,+0180
1993,09,+0168
1993,10,+0160
1993,11,+0140
1993,12,+0138
1993,13,+0120
1993,14,+0090
1993,15,+0091
1993,16,+0060
1993,17,+0060
1993,18,+0072
1993,19,+0050
1993,20,+0040
1993,21,+0047
1993,22,+0040
1993,23,+0050
1994,00,+0014
1994,01,+0030
1994,02,+0040
1994,03,+0045
1994,04,+0070
1994,05,+0080
1994,06,+0076
1994,07,+0080
1994,08,+0080
1994,09,+0063
1994,10,+0050
1994,12,+0038
1994,13,+0030
1994,14,+0020
1994,15,+0022
1994,18,+0005
1994,21,-0017
1994,22,-0020
1994,23,-0010
1995,00,+0044
1995,01,+0050
1995,02,+0080
1995,03,+0094
1995,04,+0100
1995,05,+0110
1995,06,+0114
1995,07,+0130
1995,08,+0130
1995,09,+0123
1995,10,+0110
1995,11,+0100
1995,12,+0099
1995,13,+0090
1995,14,+0080
1995,15,+0080
1995,16,+0070
1995,17,+0050
1995,18,+0066
1995,21,+0047
1995,22,+0010
1995,23,+0020
1996,00,+0055
1996,01,+0070
1996,02,+0110
1996,03,+0102
1996,04,+0120
1996,05,+0130
1996,06,+0139
1996,07,+0140
1996,08,+0130
1996,09,+0128
1996,10,+0120
1996,11,+0110
1996,12,+0109
1996,13,+0100
1996,14,+0100
1996,15,+0092
1996,18,+0071
1996,21,+0049
1996,22,+0030
1996,23,+0030
1997,00,+0062
1997,01,+0070
1997,02,+0080
1997,03,+0113
1997,04,+0120
1997,05,+0130
1997,06,+0142
1997,07,+0160
1997,08,+0160
1997,09,+0148
1997,10,+0140
1997,11,+0130
1997,12,+0136
1997,13,+0120
1997,14,+0100
1997,15,+0105
1997,16,+0090
1997,17,+0090
1997,18,+0101
1997,19,+0070
1997,20,+0070
1997,21,+0077
1997,22,+0050
1997,23,+0050
1998,00,+0046
1998,01,+0060
1998,03,+0100
1998,04,+0120
1998,05,+0130
1998,06,+0138
1998,07,+0150
1998,08,+0150
1998,09,+0136
1998,10,+0130
1998,11,+0120
1998,12,+0110
1998,13,+0090
1998,14,+0080
1998,15,+0093
1998,16,+0070
1998,17,+0070
1998,18,+0074
1998,19,+0070
1998,20,+0060
1998,21,+0040
1998,22,+0060
1998,23,+0060
1999,00,+0069
1999,01,+0090
1999,02,+0110
1999,03,+0124
1999,04,+0150
1999,05,+0160
1999,06,+0164
1999,07,+0170
1999,08,+0170
1999,09,+0170
1999,10,+0160
1999,11,+0150
1999,12,+0131
1999,13,+0120
1999,14,+0110
1999,15,+0087
1999,16,+0080
1999,17,+0080
1999,18,+0074
1999,20,+0050
1999,21,+0049
1999,22,+0030
1999,23,+0050
2000,00,+0093
2000,01,+0130
2000,02,+0150
2000,03,+0160
2000,04,+0170
2000,05,+0170
2000,06,+0184
2000,07,+0190
2000,08,+0190
2000,09,+0187
2000,10,+0180
2000,11,+0170
2000,12,+0173
2000,13,+0140
2000,14,+0130
2000,15,+0098
2000,16,+0080
2000,17,+0090
2000,18,+0084
2000,19,+0040
2000,20,+0020
2000,21,+0027
2000,22,+0020
2000,23,+0020
2001,00,+0038
2001,01,+0050
2001,02,+0060
2001,03,+0085
2001,04,+0090
2001,05,+0100
2001,06,+0095
2001,07,+0080
2001,08,+0090
2001,09,+0094
2001,10,+0080
2001,11,+0070
2001,12,+0074
2001,13,+0050
2001,14,+0040
2001,15,+0053
2001,16,+0020
2001,17,+0020
2001,18,+0020
2001,19,+0000
2001,20,+0005
2001,21,+0005
2001,22,-0010
2001,23,-0010
2002,00,+0048
2002,01,+0080
2002,02,+0100
2002,03,+0114
2002,04,+0130
2002,05,+0150
2002,06,+0170
2002,07,+0180
2002,08,+0180
2002,09,+0191
2002,12,+0157
2002,14,+0140
2002,15,+0141
2002,16,+0100
2002,17,+0100
2002,18,+0114
2002,19,+0080
2002,20,+0080
2002,21,+0103
2002,22,+0090
2002,23,+0100
2003,00,+0060
2003,03,+0116
2003,04,+0140
2003,05,+0150
2003,06,+0190
2003,07,+0190
2003,08,+0200
2003,09,+0199
2003,10,+0170
2003,11,+0150
2003,12,+0163
2003,13,+0130
2003,14,+0120
2003,15,+0115
2003,16,+0150
2003,17,+0140
2003,18,+0156
2003,19,+0150
2003,20,+0140
2003,21,+0144
2003,22,+0120
2003,23,+0120
2004,00,+0050
2004,01,+0060
2004,02,+0090
2004,03,+0119
2004,04,+0150
2004,05,+0170
2004,06,+0163
2004,07,+0180
2004,08,+0180
2004,09,+0168
2004,10,+0160
2004,11,+0140
2004,12,+0127
2004,13,+0110
2004,14,+0080
2004,15,+0103
2004,16,+0060
2004,17,+0050
2004,18,+0080
2004,19,+0040
2004,20,+0040
2004,21,+0058
2004,22,+0030
2004,23,+0040
2005,00,+0059
2005,01,+0070
2005,02,+0110
2005,03,+0159
2005,04,+0180
2005,05,+0210
2005,06,+0233
2005,07,+0240
2005,08,+0240
2005,09,+0230
2005,10,+0210
2005,11,+0190
2005,12,+0169
2005,13,+0170
2005,14,+0170
2005,15,+0139
2005,16,+0150
2005,17,+0100
2005,18,+0109
2005,19,+0070
2005,20,+0060
2005,21,+0045
2005,22,+0040
2005,23,+0040
2006,00,+0104
2006,01,+0120
2006,02,+0120
2006,03,+0120
2006,04,+0130
2006,05,+0120
2006,06,+0134
2006,07,+0130
2006,08,+0130
2006,09,+0130
2006,10,+0110
2006,11,+0100
2006,12,+0095
2006,13,+0080
2006,14,+0080
2006,15,+0058
2006,16,+0060
2006,17,+0040
2006,18,+0037
2006,19,+0030
2006,20,+0030
2006,21,+0045
2006,22,+0030
2006,23,+0030
2007,00,+0111
2007,01,+0110
2007,02,+0120
2007,03,+0148
2007,04,+0150
2007,05,+0160
2007,06,+0178
2007,07,+0170
2007,08,+0160
2007,09,+0163
2007,10,+0140
2007,11,+0120
2007,12,+0115
2007,13,+0090
2007,14,+0090
2007,15,+0077
2007,16,+0070
2007,17,+0070
2007,18,+0064
2007,19,+0040
2007,20,+0040
2007,21,+0058
2007,22,+0050
2007,23,+0050
2008,00,+0072
2008,01,+0060
2008,02,+0080
2008,03,+0109
2008,04,+0100
2008,05,+0120
2008,06,+0135
2008,07,+0130
2008,08,+0140
2008,09,+0131
2008,10,+0130
2008,11,+0110
2008,12,+0117
2008,13,+0100
2008,14,+0080
2008,15,+0070
2008,16,+0060
2008,17,+0080
2008,18,+0041
2008,19,+0060
2008,20,+0060
2008,21,+0059
2008,22,+0050
2008,23,+0050
2009,00,+0090
2009,01,+0100
2009,02,+0120
2009,03,+0117
2009,04,+0150
2009,05,+0150
2009,06,+0170
2009,07,+0170
2009,08,+0180
2009,09,+0158
2009,10,+0130
2009,11,+0130
2009,12,+0110
2009,13,+0110
2009,14,+0110
2009,15,+0112
2009,16,+0100
2009,17,+0100
2009,18,+0090
2009,19,+0080
2009,20,+0050
2009,21,+0073
2009,22,+0020
2009,23,+0050
2010,00,+0030
2010,01,+0040
2010,02,+0060
2010,03,+0060
2010,04,+0070
2010,05,+0060
2010,06,+0090
2010,07,+0080
2010,08,+0090
2010,09,+0081
2010,10,+0070
2010,11,+0060
2010,12,+0070
2010,13,+0060
2010,14,+0040
2010,15,+0053
2010,16,+0020
2010,17,+0010
2010,18,-0010
2010,19,-0010
2010,20,-0010
2010,21,+0017
2010,22,-0020
2010,23,-0010
2011,00,+0080
2011,01,+0090
2011,02,+0110
2011,03,+0111
2011,04,+0120
2011,05,+0130
2011,06,+0140
2011,07,+0140
2011,08,+0140
2011,09,+0136
2011,10,+0110
2011,11,+0100
2011,12,+0090
2011,13,+0080
2011,14,+0070
2011,15,+0077
2011,16,+0040
2011,17,+0030
2011,18,+0030
2011,19,+0010
2011,20,+0030
2011,21,+0025
2011,22,+0020
2011,23,+0020
2012,00,+0070
2012,01,+0080
2012,02,+0100
2012,03,+0114
2012,04,+0130
2012,05,+0140
2012,06,+0150
2012,07,+0150
2012,08,+0150
2012,09,+0145
2012,10,+0110
2012,11,+0110
2012,12,+0090
2012,13,+0090
2012,14,+0070
2012,15,+0086
2012,16,+0060
2012,17,+0050
2012,18,+0020
2012,19,+0010
2012,20,+0030
2012,21,+0031
2012,22,+0020
2012,23,+0020
2013,00,+0020
2013,01,+0030
2013,02,+0050
2013,03,+0056
2013,04,+0080
2013,05,+0090
2013,06,+0100
2013,07,+0100
2013,08,+0110
2013,09,+0109
2013,10,+0080
2013,11,+0080
2013,12,+0070
2013,13,+0070
2013,14,+0060
2013,15,+0058
2013,16,+0040
2013,17,+0050
2013,18,+0020
2013,19,+0020
2013,20,+0000
2013,21,+0028
2013,22,+0000
2013,23,+0000
2014,00,+0130
2014,01,+0150
2014,02,+0180
2014,03,+0190
2014,04,+0200
2014,05,+0210
2014,06,+0230
2014,07,+0230
2014,08,+0220
2014,09,+0220
2014,10,+0210
2014,11,+0180
2014,12,+0150
2014,13,+0140
2014,14,+0100
2014,15,+0152
2014,16,+0110
2014,17,+0110
2014,18,+0100
2014,19,+0110
2014,20,+0080
2014,21,+0106
2014,22,+0070
2014,23,+0090
2015,00,+0090
2015,01,+0090
2015,02,+0120
2015,03,+0118
2015,04,+0150
2015,05,+0160
2015,06,+0180
2015,07,+0180
2015,08,+0180
2015,09,+0179
2015,10,+0170
2015,11,+0160
2015,12,+0140
2015,13,+0140
2015,14,+0120
2015,15,+0130
2015,16,+0120
2015,17,+0090
2015,18,+0110
2015,19,+0070
2015,20,+0050
2015,21,+0083
2015,22,+0040
2015,23,+0050
2016,00,+0090
2016,01,+0100
2016,02,+0120
2016,03,+0114
2016,04,+0140
2016,05,+0140
2016,06,+0140
2016,07,+0140
2016,08,+0150
2016,09,+0146
2016,10,+0120
2016,11,+0110
2016,12,+0120
2016,13,+0120
2016,14,+0110
2016,15,+0086
2016,16,+0050
2016,18,+0050
2016,19,+0040
2016,20,+0070
2016,21,+0092
2016,22,+0030
2016,23,+0080
2017,00,+0050
2017,01,+0060
2017,02,+0090
2017,03,+0105
2017,04,+0140
2017,05,+0140
2017,06,+0130
2017,07,+0140
2017,08,+0140
2017,09,+0132
2017,10,+0100
2017,11,+0110
2017,12,+0110
2017,13,+0100
2017,14,+0100
2017,15,+0103
2017,16,+0090
2017,17,+0090
2017,18,+0080
2017,19,+0080
2017,20,+0080
2017,21,+0078
2017,22,+0070
2017,23,+0080
2018,00,+0150
2018,01,+0170
2018,02,+0190
2018,03,+0216
2018,04,+0240
2018,05,+0250
2018,06,+0270
2018,07,+0270
2018,08,+0270
2018,09,+0263
2018,10,+0240
2018,11,+0220
2018,12,+0180
2018,13,+0220
2018,14,+0200
2018,15,+0190
2018,16,+0160
2018,17,+0120
2018,18,+0090
2018,19,+0080
2018,20,+0060
2018,21,+0112
2018,22,+0060
2018,23,+0060
2019,00,+0140
2019,01,+0160
2019,02,+0180
2019,03,+0194
2019,04,+0210
2019,05,+0220
2019,06,+0230
2019,07,+0230
2019,08,+0230
2019,09,+0222
2019,10,+0210
2019,11,+0200
2019,12,+0180
2019,13,+0160
2019,14,+0090
2019,15,+0123
2019,16,+0070
2019,17,+0070
2019,18,+0050
2019,19,+0080
2019,20,+0080
2019,21,+0050
2019,22,+0050
2019,23,+0090
2020,00,+0140
2020,01,+0140
2020,02,+0180
2020,03,+0167
2020,04,+0190
2020,05,+0200
2020,06,+0220
2020,07,+0210
2020,08,+0210
2020,09,+0211
2020,10,+0190
2020,11,+0190
2020,12,+0180
2020,13,+0180
2020,14,+0170
2020,15,+0161
2020,16,+0150
2020,17,+0150
2020,18,+0110
2020,19,+0110
2020,20,+0080
2020,21,+0082
2020,22,+0060
2020,23,+0050
2021,00,+0120
2021,01,+0130
2021,02,+0150
2021,03,+0166
2021,04,+0190
2021,05,+0200
2021,06,+0220
2021,07,+0220
2021,08,+0210
2021,09,+0208
2021,10,+0180
2021,11,+0170
2021,12,+0140
2021,13,+0140
2021,14,+0130
2021,15,+0160
2021,16,+0120
2021,17,+0140
2021,18,+0140
2021,19,+0130
2021,20,+0130
2021,21,+0120
2021,22,+0110
2021,23,+0130
2022,00,+0110
2022,01,+0110
2022,02,+0120
2022,03,+0125
