year,hour,temp
1946,00,+0213
1946,01,+0241
1946,02,+0263
1946,03,+0268
1946,04,+0285
1946,05,+0291
1946,06,+0296
1946,07,+0307
1946,08,+0307
1946,09,+0307
1946,10,+0302
1946,11,+0296
1946,21,+0202
1946,22,+0202
1946,23,+0202
1956,00,+0211
1956,03,+0239
1956,06,+0272
1956,09,+0278
1956,12,+0250
1956,18,+0228
1956,21,+0222
1957,00,+0239
1957,03,+0272
1957,06,+0300
1957,09,+0300
1957,15,+0239
1957,18,+0228
1958,00,+0228
1958,03,+0278
1958,06,+0311
1958,09,+0311
1958,12,+0261
1958,18,+0211
1958,21,+0200
1959,00,+0228
1959,03,+0272
1959,06,+0300
1959,09,+0311
1959,12,+0272
1959,15,+0250
1959,18,+0228
1959,21,+0222
1960,00,+0222
1960,03,+0239
1960,06,+0250
1960,09,+0222
1960,12,+0228
1960,15,+0200
1960,18,+0189
1960,21,+0161
1961,00,+0250
1961,03,+0272
1961,06,+0278
1961,09,+0261
1961,12,+0239
1961,15,+0228
1961,18,+0228
1961,21,+0222
1962,00,+0228
1962,03,+0272
1962,06,+0300
1962,09,+0300
1962,12,+0261
1962,15,+0239
1962,18,+0228
1962,21,+0222
1963,00,+0211
1963,03,+0272
1963,06,+0300
1963,09,+0289
1963,12,+0261
1963,15,+0250
1963,18,+0239
1963,21,+0228
1964,00,+0228
1964,03,+0250
1964,06,+0272
1964,09,+0250
1964,12,+0228
1964,15,+0222
1964,18,+0211
1964,21,+0189
1973,00,+0220
1973,03,+0280
1973,06,+0300
1973,09,+0300
1973,12,+0260
1973,15,+0240
1973,18,+0220
1973,21,+0210
1974,00,+0260
1974,03,+0300
1974,06,+0310
1974,09,+0300
1974,12,+0220
1974,15,+0220
1974,18,+0220
1974,21,+0210
1975,00,+0250
1975,03,+0310
1975,06,+0330
1975,09,+0330
1975,12,+0270
1975,15,+0240
1975,18,+0210
1975,21,+0180
1976,00,+0190
1976,03,+0210
1976,06,+0240
1976,09,+0240
1976,12,+0200
1976,15,+0190
1976,18,+0180
1976,21,+0180
1977,00,+0220
1977,03,+0270
1977,06,+0290
1977,09,+0290
1977,12,+0240
1977,15,+0220
1977,18,+0210
1977,21,+0200
1978,00,+0220
1978,03,+0280
1978,06,+0310
