year,hour,temp
1945,00,+0085
1945,01,+0085
1945,02,+0096
1945,03,+0124
1945,04,+0135
1945,05,+0141
1945,06,+0163
1945,07,+0163
1945,08,+0169
1945,09,+0169
1945,10,+0146
1945,11,+0146
1945,12,+0091
1945,13,+0080
1945,14,+0074
1945,15,+0069
1945,16,+0052
1945,17,+0052
1945,18,+0035
1945,19,+0041
1945,20,+0035
1945,21,+0035
1945,22,+0030
1945,23,+0024
1946,00,+0091
1946,01,+0091
1946,02,+0096
1946,03,+0102
1946,04,+0113
1946,05,+0113
1946,06,+0113
1946,07,+0113
1946,08,+0107
1946,09,+0107
1946,10,+0102
1946,11,+0102
1946,22,+0102
1946,23,+0102
1956,00,-0011
1956,03,+0039
1956,09,+0061
1956,12,+0028
1956,18,+0000
1956,21,-0022
1957,00,+0100
1957,03,+0122
1957,06,+0139
1957,09,+0139
1957,15,+0050
1957,18,+0000
1958,00,+0078
1958,06,+0122
1958,09,+0111
1958,12,+0072
1958,15,+0050
1958,18,+0039
1958,21,+0000
1959,00,+0022
1959,03,+0072
1959,06,+0100
1959,09,+0100
1959,12,+0050
1959,15,+0028
1959,18,+0039
1959,21,+0061
1960,00,+0050
1960,03,+0128
1960,06,+0172
1960,12,+0078
1960,15,+0078
1960,18,+0072
1961,00,+0061
1961,03,+0111
1961,06,+0139
1961,09,+0122
1961,12,+0078
1961,15,+0061
1961,18,+0061
1961,21,+0050
1962,00,+0000
1962,03,+0089
1962,06,+0139
1962,09,+0122
1962,12,+0039
1962,15,+0028
1962,18,+0022
1962,21,-0011
1963,00,+0100
1963,03,+0139
1963,06,+0150
1963,09,+0128
1963,12,+0111
1963,15,+0100
1963,18,+0111
1963,21,+0078
1964,00,+0022
1964,03,+0139
1964,06,+0150
1964,09,+0139
1964,12,+0072
1964,15,+0072
1964,18,+0072
1964,21,+0039
1973,00,+0010
1973,03,+0110
1973,06,+0150
1973,09,+0120
1973,12,+0070
1973,15,+0050
1973,18,+0010
1973,21,+0010
1974,00,+0030
1974,03,+0070
1974,06,+0140
1974,09,+0130
1974,12,+0080
1974,15,+0050
1974,18,+0060
1974,21,+0070
1975,00,+0060
1975,03,+0150
1975,06,+0160
