year,hour,temp
1989,12,+0134
1992,21,+0180
1993,12,+0180
1993,14,+0220
1993,16,+0230
1993,17,+0220
1993,18,+0230
1993,21,+0170
1994,11,+0170
1994,12,+0170
1994,13,+0190
1994,14,+0200
1994,15,+0200
1996,10,+0160
1996,12,+0170
1996,13,+0170
1996,14,+0170
1996,15,+0170
1996,17,+0170
1996,18,+0160
1996,19,+0150
1996,20,+0150
1997,01,+0150
1997,10,+0160
1997,11,+0180
1997,13,+0220
1997,14,+0230
1997,15,+0230
1997,16,+0260
1997,17,+0260
1997,18,+0280
1997,20,+0250
1997,21,+0230
1998,09,+0190
1998,11,+0200
1998,12,+0210
1998,13,+0230
1998,14,+0260
1998,15,+0280
1998,16,+0300
1998,17,+0310
1998,18,+0340
1998,19,+0340
1998,21,+0290
1998,22,+0260
1998,23,+0240
1999,00,+0160
1999,01,+0160
1999,09,+0160
1999,10,+0160
1999,11,+0170
1999,13,+0200
1999,15,+0210
1999,19,+0200
1999,22,+0180
1999,23,+0170
2000,00,+0160
2000,01,+0160
2000,09,+0150
2000,10,+0150
2000,12,+0160
2000,14,+0180
2000,16,+0180
2000,18,+0180
2000,20,+0180
2000,22,+0160
2001,00,+0120
2001,01,+0120
2001,09,+0100
2001,10,+0110
2001,11,+0120
2001,12,+0130
2001,13,+0150
2001,14,+0170
2001,15,+0160
2001,16,+0160
2001,17,+0160
2001,18,+0160
2001,19,+0150
2001,20,+0140
2001,21,+0140
2001,22,+0130
2001,23,+0130
2004,09,+0148
2004,15,+0214
2004,21,+0198
2005,09,+0160
2005,15,+0178
2005,21,+0171
2006,09,+0147
2006,15,+0203
2006,21,+0168
2007,00,+0180
2007,01,+0170
2007,02,+0170
2007,09,+0170
2007,10,+0180
2007,11,+0180
2007,12,+0190
2007,13,+0190
2007,14,+0210
2007,15,+0215
2007,16,+0230
2007,17,+0240
2007,18,+0230
2007,19,+0170
2007,20,+0170
2007,21,+0160
2007,22,+0170
2007,23,+0150
2008,00,+0140
2008,01,+0140
2008,02,+0140
2008,09,+0130
2008,10,+0140
2008,11,+0140
2008,12,+0150
2008,13,+0160
2008,14,+0160
2008,15,+0170
2008,16,+0180
2008,17,+0170
2008,18,+0170
2008,19,+0160
2008,20,+0160
2008,21,+0150
2008,22,+0140
2008,23,+0130
2009,00,+0180
2009,01,+0180
2009,02,+0180
2009,09,+0180
2009,10,+0180
2009,11,+0180
2009,12,+0190
2009,13,+0190
2009,14,+0200
2009,15,+0210
2009,16,+0220
2009,17,+0220
2009,18,+0210
2009,19,+0200
2009,20,+0190
2009,21,+0180
2009,22,+0180
2009,23,+0180
2010,00,+0170
2010,01,+0170
2010,02,+0170
2010,09,+0160
2010,10,+0170
2010,11,+0180
2010,12,+0200
2010,13,+0230
2010,14,+0270
2010,15,+0300
2010,16,+0310
2010,17,+0320
2010,18,+0270
2010,20,+0250
2010,21,+0220
2010,22,+0220
2010,23,+0190
2011,00,+0160
2011,01,+0160
2011,02,+0160
2011,09,+0150
2011,10,+0150
2011,11,+0160
2011,12,+0180
2011,13,+0200
2011,14,+0210
2011,15,+0220
2011,16,+0230
2011,17,+0230
2011,18,+0220
2011,19,+0210
2011,20,+0190
2011,21,+0170
2011,22,+0160
2011,23,+0160
2012,00,+0270
2012,01,+0240
2012,02,+0210
2012,09,+0180
2012,10,+0190
2012,11,+0220
2012,12,+0250
2012,13,+0280
2012,14,+0300
2012,15,+0310
2012,16,+0320
2012,17,+0330
2012,18,+0330
2012,19,+0330
2012,20,+0320
2012,21,+0300
2012,22,+0280
2013,00,+0210
2013,01,+0190
2013,02,+0190
2013,09,+0190
2013,10,+0190
2013,11,+0210
2013,12,+0210
2013,13,+0210
2013,14,+0210
2013,15,+0210
2013,16,+0210
2013,18,+0210
2013,19,+0200
2013,20,+0200
2013,21,+0200
2013,22,+0200
2013,23,+0200
2014,00,+0170
2014,01,+0170
2014,02,+0170
2014,09,+0160
2014,10,+0160
2014,11,+0160
2014,12,+0170
2014,13,+0180
2014,14,+0200
2014,15,+0210
2014,16,+0220
2014,17,+0220
2014,18,+0200
2014,19,+0200
2014,20,+0180
2014,21,+0170
2014,22,+0170
2014,23,+0160
2015,00,+0240
2015,01,+0220
2015,02,+0220
2015,09,+0190
2015,10,+0210
2015,11,+0240
2015,12,+0290
2015,13,+0300
2015,14,+0300
2015,15,+0320
2015,16,+0320
2015,17,+0320
2015,19,+0330
2015,20,+0320
2015,21,+0310
2015,22,+0300
2015,23,+0260
2016,00,+0160
2016,01,+0160
2016,02,+0160
2016,09,+0170
2016,10,+0170
2016,11,+0180
2016,12,+0200
2016,13,+0200
2016,14,+0220
2016,15,+0240
2016,16,+0250
2016,17,+0270
2016,18,+0280
2016,19,+0230
2016,20,+0210
2016,21,+0200
2016,22,+0190
2016,23,+0190
2017,00,+0200
2017,01,+0200
2017,02,+0200
2017,09,+0160
2017,10,+0180
2017,11,+0200
2017,12,+0230
2017,13,+0260
2017,15,+0300
2017,17,+0310
2017,18,+0320
2017,19,+0310
2017,20,+0290
2017,21,+0210
2017,22,+0200
2017,23,+0190
2018,00,+0160
2018,01,+0160
2019,00,+0240
2019,01,+0230
2019,02,+0220
2019,09,+0170
2019,10,+0190
2019,11,+0230
2019,12,+0260
2019,13,+0290
2019,14,+0310
2019,15,+0320
2019,16,+0320
2019,17,+0330
2019,18,+0330
2019,19,+0330
2019,21,+0320
2019,22,+0280
2019,23,+0260
