year,hour,temp
1976,00,-0030
1976,03,-0030
1976,06,-0020
1976,15,-0050
1976,18,-0040
1976,21,-0030
1977,00,-0140
1977,03,-0140
1977,06,-0120
1977,09,-0120
1977,12,-0120
1977,15,-0130
1977,18,-0120
1978,00,-0210
1978,03,-0190
1978,06,-0170
1978,12,-0160
1978,15,-0170
1978,21,-0240
1979,00,-0120
1979,03,-0110
1979,06,-0100
1979,09,-0110
1979,12,-0120
1979,15,-0120
1979,18,-0130
1979,21,-0140
1980,00,-0250
1980,03,-0240
1980,06,-0240
1980,09,-0270
1980,12,-0260
1980,15,-0240
1980,18,-0230
1980,21,-0220
1981,00,-0050
1981,03,-0040
1981,06,-0060
1981,09,-0090
1981,12,-0110
1981,15,-0150
1981,18,-0110
1981,21,-0140
1982,00,-0031
1982,03,-0069
1982,06,-0058
1982,09,-0038
1982,12,-0046
1982,15,-0060
1982,18,-0053
1982,21,-0048
1983,00,-0221
1983,06,-0217
1983,09,-0203
1983,12,-0222
1983,15,-0200
1983,18,-0166
1984,03,-0024
1984,06,-0030
1984,09,-0014
1984,15,-0018
1984,18,-0032
1985,00,-0060
1985,03,-0069
1985,06,-0076
1985,07,-0090
1985,08,-0090
1985,09,-0091
1985,10,-0090
1985,12,-0099
1985,13,-0110
1985,14,-0110
1985,15,-0107
1985,18,-0107
1985,21,-0115
1986,00,-0318
1986,03,-0335
1986,06,-0323
1986,07,-0330
1986,08,-0330
1986,09,-0323
1986,11,-0330
1986,12,-0319
1986,13,-0350
1986,14,-0330
1986,15,-0351
1986,16,-0330
1986,18,-0325
1986,21,-0345
1987,00,-0122
1987,03,-0112
1987,06,-0111
1987,07,-0130
1987,08,-0140
1987,09,-0129
1987,10,-0130
1987,11,-0150
1987,12,-0136
1987,13,-0140
1987,14,-0160
1987,15,-0168
1987,18,-0162
1987,21,-0191
1988,00,-0079
1988,03,-0116
1988,06,-0139
1988,07,-0100
1988,08,-0110
1988,09,-0099
1988,10,-0100
1988,11,-0100
1988,12,-0100
1988,13,-0100
1988,14,-0120
1988,15,-0133
1988,16,-0140
1988,17,-0140
1988,18,-0138
1988,19,-0160
1988,20,-0170
1988,21,-0188
1988,22,-0190
1988,23,-0200
1989,00,-0029
1989,03,-0013
1989,05,-0020
1989,06,-0030
1989,08,-0040
1989,09,-0060
1989,12,-0057
1989,15,-0035
1989,18,-0016
1989,21,-0020
1990,00,-0204
1990,03,-0205
1990,06,-0202
1990,07,-0200
1990,08,-0200
1990,09,-0195
1990,10,-0190
1990,11,-0180
1990,12,-0197
1990,13,-0180
1990,15,-0175
1990,18,-0183
1990,21,-0176
1991,00,-0140
1991,03,-0125
1991,06,-0103
1991,07,-0100
1991,08,-0100
1991,09,-0094
1991,10,-0100
1991,11,-0090
1991,12,-0095
1991,13,-0090
1991,14,-0090
1991,15,-0095
1991,18,-0093
1991,21,-0099
1992,00,-0266
