year,hour,temp
1976,00,-0050
1976,03,-0050
1976,06,-0040
1976,09,-0040
1976,12,-0030
1976,15,-0020
1976,18,-0010
1976,21,-0010
1977,00,-0050
1977,03,-0060
1977,06,-0060
1977,09,-0060
1977,12,-0060
1977,15,-0040
1977,18,-0040
1978,03,-0030
1978,06,-0020
1978,09,-0020
1978,12,-0010
1978,15,-0010
1978,18,-0030
1978,21,-0020
1979,00,-0010
1979,03,-0020
1979,12,+0000
1979,15,+0010
1979,18,+0010
1979,21,+0000
1980,00,+0020
1980,03,+0020
1980,06,+0020
1980,12,+0030
1980,15,+0040
1980,18,+0010
1980,21,+0020
1981,00,-0030
1981,03,-0030
1981,06,-0020
1981,09,-0010
1981,12,-0010
1981,15,-0020
1981,18,-0020
1981,21,-0030
1982,00,+0002
1982,03,-0006
1982,06,-0011
1982,09,-0005
1982,12,+0000
1982,15,+0000
1982,21,-0004
1983,00,-0036
1983,03,-0036
1983,06,-0035
1983,09,-0033
1983,12,-0026
1983,15,-0024
1983,18,-0032
1983,21,-0032
1984,00,+0039
1984,03,+0044
1984,06,+0053
1984,12,+0029
1984,18,+0048
1984,21,+0043
1985,00,+0008
1985,02,+0000
1985,03,+0004
1985,05,+0010
1985,06,+0008
1985,07,+0010
1985,09,+0010
1985,10,+0010
1985,11,+0010
1985,12,+0009
1985,13,+0010
1985,14,+0010
1985,15,+0007
1985,16,+0010
1985,17,+0010
1985,18,+0004
1985,21,-0004
1986,00,+0028
1986,01,+0030
1986,02,+0030
1986,03,+0033
1986,04,+0040
1986,05,+0040
1986,06,+0037
1986,07,+0040
1986,08,+0040
1986,09,+0047
1986,10,+0050
1986,12,+0054
1986,13,+0060
1986,14,+0050
1986,15,+0052
1986,16,+0050
1986,17,+0050
1986,18,+0046
1986,21,+0038
1987,00,+0013
1987,03,+0015
1987,04,+0010
1987,06,+0015
1987,07,+0010
1987,08,+0010
1987,09,+0006
1987,10,+0010
1987,11,+0010
1987,12,+0010
1987,13,+0010
1987,14,+0010
1987,15,+0013
1987,16,+0010
1987,17,+0010
1987,18,+0007
1987,19,+0000
1987,20,+0010
1987,21,+0006
1987,22,+0000
1987,23,+0000
1988,00,+0006
1988,03,+0007
1988,04,+0020
1988,05,+0020
1988,06,+0021
1988,08,+0020
1988,09,+0028
1988,10,+0030
1988,11,+0040
1988,12,+0030
1988,13,+0040
1988,14,+0030
1988,15,+0032
1988,16,+0040
1988,17,+0040
1988,18,+0031
1988,21,+0020
1989,00,-0023
1989,03,-0020
1989,04,-0020
1989,05,-0030
1989,06,-0023
1989,07,-0020
1989,08,-0020
1989,09,-0010
1989,10,-0020
1989,11,-0010
1989,12,-0017
1989,13,-0010
1989,14,-0010
1989,15,-0010
1989,16,-0010
1989,17,+0000
1989,18,-0003
1989,21,-0007
1990,00,-0034
1990,03,-0032
1990,06,-0026
1990,07,-0020
1990,08,-0020
1990,09,-0014
1990,10,-0010
1990,11,-0010
1990,12,-0009
1990,13,-0010
1990,14,-0010
1990,15,-0010
1990,16,-0010
1990,17,+0000
1990,18,-0003
1990,19,-0010
1990,20,-0010
1990,21,-0009
1991,00,+0003
1991,01,+0000
1991,02,-0010
1991,03,-0008
1991,04,-0010
1991,05,-0010
1991,06,-0019
1991,07,-0020
1991,08,-0010
1991,09,-0013
1991,10,+0000
1991,11,-0010
1991,12,-0008
1991,13,-0010
1991,14,-0010
1991,15,-0011
1991,16,-0010
1991,17,-0010
1991,18,-0005
1991,21,-0009
1992,00,-0010
1992,01,-0010
1992,02,-0010
1992,03,-0004
1992,04,+0000
1992,05,+0000
1992,06,-0003
1992,07,+0010
1992,08,-0010
1992,09,-0011
1992,10,-0010
1992,11,-0020
1992,12,-0008
1992,13,-0010
1992,14,+0000
1992,15,-0003
1992,17,+0000
1992,18,+0003
1992,21,-0002
1993,00,-0033
1993,03,-0033
1993,04,-0030
1993,05,-0030
1993,06,-0030
1993,08,-0030
1993,09,-0024
