year,hour,temp
1976,00,-0140
1976,03,-0120
1976,06,-0160
1976,09,-0150
1976,12,-0110
1976,15,-0140
1976,18,-0140
1976,21,-0200
1977,00,-0150
1977,03,-0160
1977,06,-0140
1977,09,-0150
1977,12,-0160
1977,15,-0160
1977,18,-0160
1977,21,-0150
1978,00,-0250
1978,03,-0260
1978,06,-0230
1978,09,-0210
1978,12,-0230
1978,18,-0120
1978,21,-0130
1979,00,-0230
1979,03,-0240
1979,06,-0270
1979,12,-0260
1979,15,-0200
1979,18,-0210
1979,21,-0210
1980,00,-0120
1980,03,-0140
1980,06,-0140
1980,09,-0170
1980,12,-0200
1980,15,-0210
1980,18,-0220
1980,21,-0220
1981,00,-0280
1981,03,-0250
1981,06,-0250
1981,09,-0280
1981,12,-0300
1981,15,-0310
1981,18,-0310
1981,21,-0330
1982,00,-0180
1982,03,-0186
1982,06,-0178
1982,09,-0168
1982,15,-0148
1982,18,-0149
1982,21,-0137
1983,00,-0113
1983,03,-0123
1983,06,-0136
1983,09,-0138
1983,12,-0142
1983,15,-0132
1983,18,-0111
1983,21,-0121
1984,00,-0033
1984,03,-0033
1984,06,-0043
1984,09,-0045
1984,12,-0040
1984,15,-0036
1984,18,-0048
1984,21,-0045
1985,00,-0036
1985,03,-0051
1985,06,-0059
1985,08,-0070
1985,09,-0070
1985,10,-0080
1985,12,-0078
1985,15,-0107
1985,18,-0119
1985,21,-0121
1986,00,-0204
1986,02,-0210
1986,03,-0209
1986,05,-0210
1986,06,-0209
1986,07,-0210
1986,08,-0210
1986,09,-0206
1986,10,-0210
1986,12,-0200
1986,13,-0200
1986,14,-0200
1986,15,-0202
1986,16,-0200
1986,17,-0200
1986,18,-0199
1986,21,-0203
1987,00,-0001
1987,02,+0000
1987,03,-0004
1987,04,-0030
1987,05,-0030
1987,06,-0038
1987,07,-0040
1987,08,-0030
1987,10,-0060
1987,11,-0110
1987,12,-0087
1987,14,-0100
1987,15,-0107
1987,18,-0110
1987,21,-0119
1988,00,-0133
1988,01,-0130
1988,02,-0130
1988,03,-0127
1988,04,-0130
1988,06,-0136
1988,08,-0140
1988,09,-0134
1988,10,-0140
1988,11,-0120
1988,12,-0124
1988,13,-0120
1988,14,-0120
1988,15,-0121
1988,16,-0130
1988,17,-0150
1988,18,-0154
1988,19,-0160
1988,20,-0170
1988,21,-0154
1988,22,-0180
1988,23,-0170
1989,00,-0154
1989,03,-0062
1989,06,-0050
1989,07,-0040
1989,09,-0050
1989,10,-0050
1989,11,-0040
1989,12,-0050
1989,13,-0070
1989,15,-0064
1989,18,-0040
1989,21,-0080
1990,00,-0040
1990,03,-0043
1990,06,-0042
1990,07,-0040
1990,08,-0040
1990,09,-0036
1990,10,-0040
1990,11,-0040
1990,12,-0046
1990,13,-0040
1990,14,-0050
1990,15,-0040
1990,18,-0044
1990,21,-0042
1991,00,-0192
1991,06,-0176
1991,08,-0170
1991,09,-0156
1991,10,-0150
1991,11,-0140
1991,12,-0145
1991,13,-0140
1991,14,-0150
1991,15,-0135
1991,18,-0128
1991,21,-0042
1992,00,-0060
1992,03,-0057
1992,06,-0053
1992,07,-0050
1992,08,-0050
1992,09,-0039
1992,10,-0040
1992,11,-0040
1992,12,-0042
1992,13,-0050
1992,14,-0050
1992,15,-0053
1992,21,-0071
1993,00,-0276
1993,03,-0256
1993,04,-0250
1993,05,-0260
1993,06,-0251
1993,07,-0260
1993,08,-0250
1993,09,-0244
1993,10,-0240
1993,11,-0250
1993,12,-0248
1993,13,-0250
1993,14,-0260
1993,15,-0246
1993,16,-0260
1993,17,-0240
1993,18,-0227
1993,19,-0230
1993,20,-0240
1993,21,-0232
1994,03,-0242
1994,04,-0230
1994,05,-0250
1994,06,-0237
1994,07,-0250
1994,08,-0260
1994,09,-0260
1994,12,-0241
1994,13,-0260
1994,14,-0270
1994,15,-0270
1994,16,-0250
1994,17,-0240
1994,18,-0238
1994,19,-0250
1994,20,-0230
1994,21,-0252
1994,22,-0250
1995,00,-0066
1995,02,-0070
1995,03,-0079
1995,04,-0080
1995,05,-0070
1995,06,-0075
1995,07,-0070
1995,08,-0070
1995,09,-0070
1995,10,-0070
1995,11,-0080
1995,12,-0086
1995,13,-0090
1995,14,-0100
1995,15,-0099
1995,17,-0120
1995,18,-0116
1995,19,-0110
1995,20,-0120
1995,21,-0119
1995,22,-0120
1995,23,-0120
1996,00,-0064
1996,02,-0070
1996,03,-0071
1996,04,-0070
1996,05,-0070
1996,06,-0074
1996,07,-0080
1996,08,-0080
1996,09,-0082
1996,10,-0080
1996,11,-0090
1996,12,-0085
1996,13,-0090
1996,14,-0100
1996,15,-0103
1996,17,-0110
1996,18,-0105
1996,19,-0110
1996,20,-0100
1996,21,-0100
1996,22,-0100
1996,23,-0100
1997,00,-0115
1997,02,-0120
1997,03,-0125
1997,05,-0110
1997,06,-0106
1997,07,-0100
1997,08,-0100
1997,09,-0111
1997,10,-0110
1997,11,-0120
1997,12,-0119
1997,13,-0120
1997,14,-0130
1997,15,-0127
1997,16,-0130
1997,18,-0117
1997,19,-0130
1997,20,-0130
1997,21,-0134
1997,22,-0130
1998,00,-0236
1998,01,-0240
1998,02,-0230
1998,03,-0242
1998,04,-0230
1998,05,-0240
1998,06,-0244
1998,07,-0250
1998,08,-0250
1998,09,-0239
1998,10,-0230
1998,11,-0230
1998,12,-0234
1998,13,-0230
1998,15,-0218
1998,16,-0210
1998,17,-0200
1998,18,-0198
1998,19,-0200
1998,20,-0190
1998,21,-0192
1998,22,-0190
1998,23,-0190
1999,00,-0005
1999,01,-0020
1999,02,-0030
1999,03,-0008
1999,04,-0010
1999,05,-0020
1999,06,-0027
1999,07,-0020
1999,08,-0010
1999,09,-0023
1999,10,-0020
1999,11,-0010
1999,12,-0004
1999,13,-0020
1999,14,-0030
1999,15,-0014
1999,16,-0020
1999,17,-0030
1999,18,-0030
1999,19,-0040
1999,20,-0040
1999,21,-0044
1999,22,-0050
2000,00,-0057
2000,01,-0050
2000,02,-0050
2000,03,-0055
2000,04,-0060
2000,05,-0060
2000,06,-0042
2000,07,-0050
2000,08,-0040
2000,09,-0048
2000,10,-0060
2000,11,-0070
2000,12,-0078
2000,13,-0080
2000,14,-0090
2000,15,-0082
2000,16,-0090
2000,17,-0080
2000,18,-0093
2000,19,-0100
2000,20,-0090
