year,hour,temp
1976,00,-0010
1976,03,+0020
1976,06,+0020
1976,09,+0020
1976,12,+0020
1976,15,+0020
1976,18,+0010
1976,21,+0010
1977,00,-0010
1977,03,-0010
1977,06,-0010
1977,09,-0010
1977,12,-0010
1977,15,+0000
1977,18,+0000
1977,21,+0000
1978,00,+0060
1978,03,+0060
1978,06,+0050
1978,09,+0040
1978,12,+0050
1978,15,+0040
1978,18,+0040
1978,21,+0040
1979,00,-0100
1979,03,-0110
1979,06,-0110
1979,09,-0110
1979,12,-0090
1979,15,-0080
1979,18,-0070
1979,21,-0080
1980,00,+0030
1980,03,+0020
1980,06,+0020
1980,09,+0010
1980,12,+0010
1980,15,+0010
1981,00,+0030
1981,03,+0010
1981,06,+0010
1981,09,+0000
1981,12,+0020
1981,15,+0010
1981,18,+0010
1981,21,+0010
1982,00,-0069
1982,03,-0075
1982,06,-0077
1982,09,-0078
1982,12,-0074
1982,15,-0071
1982,18,-0077
1982,21,-0086
1983,00,-0006
1983,03,-0009
1983,06,-0012
1983,09,-0008
1983,12,-0006
1983,15,-0007
1983,18,-0006
1983,21,-0011
1984,00,-0019
1984,03,+0019
1984,06,+0011
1984,09,+0021
1984,12,+0017
1984,15,+0031
1984,18,+0008
1984,21,+0012
1985,00,-0079
1985,01,-0080
1985,02,-0080
1985,03,-0084
1985,04,-0080
1985,06,-0081
1985,07,-0080
1985,08,-0070
1985,09,-0073
1985,10,-0070
1985,11,-0070
1985,12,-0070
1985,13,-0070
1985,14,-0060
1985,15,-0062
1985,16,-0070
1985,17,-0060
1985,18,-0062
1985,21,-0066
1986,00,-0004
1986,03,-0005
1986,04,+0000
1986,05,+0000
1986,06,-0002
1986,07,+0000
1986,08,+0010
1986,10,+0000
1986,11,+0000
1986,12,+0002
1986,14,+0010
1986,15,+0004
1986,17,+0010
1986,18,+0006
1986,19,+0010
1986,21,+0009
1986,23,+0010
1987,00,-0027
1987,01,-0030
1987,02,-0030
1987,03,-0035
1987,04,-0040
1987,06,-0039
1987,07,-0040
1987,08,-0030
1987,09,-0031
1987,10,-0030
1987,11,-0030
1987,12,-0026
1987,13,-0030
1987,14,-0030
1987,15,-0018
1987,16,-0020
1987,17,-0030
1987,18,-0024
1987,19,-0020
1987,20,-0020
1987,21,-0025
1987,22,-0030
1987,23,-0030
1988,00,+0033
1988,03,+0032
1988,04,+0030
1988,05,+0040
1988,06,+0041
1988,07,+0030
1988,08,+0040
1988,09,+0045
1988,10,+0060
1988,11,+0050
1988,12,+0044
1988,14,+0050
1988,15,+0048
1988,17,+0040
1988,18,+0034
1988,21,+0022
1989,00,-0030
1989,03,-0030
1989,04,-0020
1989,05,-0020
1989,06,-0020
1989,07,-0020
1989,08,-0010
1989,09,-0011
1989,10,-0020
1989,12,-0014
1989,15,-0016
1989,17,-0010
1989,18,-0011
1989,21,-0018
1990,00,-0021
1990,03,-0027
1990,05,-0030
1990,06,-0020
1990,07,-0020
1990,08,-0020
1990,09,-0017
1990,10,-0010
1990,11,-0010
1990,12,-0009
1990,13,-0010
1990,14,-0010
1990,15,-0010
1990,16,-0010
1990,17,-0010
1990,18,-0006
1990,21,-0020
1991,00,-0011
1991,01,-0010
1991,02,-0010
1991,03,-0009
1991,04,+0000
1991,05,-0010
1991,06,-0009
1991,07,-0010
1991,08,-0010
1991,09,+0005
1991,10,+0000
1991,12,-0001
1991,13,+0000
1991,14,+0000
1991,15,-0001
1991,16,+0000
1991,17,-0010
1991,18,-0006
1991,21,-0006
1992,05,+0010
1992,06,+0010
1992,07,+0010
1992,08,+0000
1992,09,+0002
1992,10,+0000
1992,11,+0000
1992,12,+0003
1992,13,+0010
1992,14,+0000
1992,15,+0000
1992,17,-0010
1992,18,-0011
1992,19,-0010
1992,21,-0011
1992,22,-0010
1992,23,-0010
1993,00,-0008
1993,03,-0018
1993,04,-0020
1993,05,-0020
1993,06,-0019
1993,08,-0010
1993,09,-0006
1993,10,+0000
1993,11,+0000
1993,12,-0004
1993,13,+0000
1993,14,-0010
1993,15,-0004
1993,16,-0010
1993,17,-0010
1993,18,-0011
1993,21,-0017
1994,00,-0038
1994,03,-0032
1994,05,-0030
1994,06,-0027
1994,07,-0020
1994,08,-0020
1994,09,-0020
1994,10,-0010
1994,11,+0000
1994,12,-0001
1994,13,+0010
1994,14,+0020
1994,15,+0026
1994,16,+0030
1994,17,+0020
1994,18,+0021
1994,19,+0020
1994,20,+0020
1994,21,+0006
1994,22,+0000
1994,23,+0010
1995,00,+0007
1995,01,+0010
1995,02,+0000
1995,03,+0004
1995,04,+0000
1995,05,+0010
1995,06,+0016
1995,07,+0020
1995,08,+0020
1995,09,+0014
1995,10,+0010
1995,11,+0010
1995,12,+0005
1995,13,+0010
1995,14,+0010
1995,15,+0004
1995,16,+0010
1995,17,+0000
1995,18,+0008
1995,19,+0010
1995,20,+0010
1995,21,+0010
1995,22,+0000
1995,23,+0010
1996,00,-0019
1996,01,-0020
1996,02,-0020
1996,03,-0018
1996,04,-0020
1996,06,-0019
1996,07,-0020
1996,08,-0020
1996,09,-0015
1996,10,-0010
1996,11,-0010
1996,12,-0010
1996,13,-0010
1996,14,-0010
1996,15,-0012
1996,16,-0010
1996,17,-0010
1996,18,-0013
1996,19,-0010
1996,21,-0012
1996,22,-0010
1996,23,-0010
1997,00,-0028
1997,02,-0040
1997,03,-0037
1997,04,-0040
1997,05,-0030
1997,06,-0030
1997,07,-0030
1997,08,-0030
1997,09,-0027
1997,10,-0020
1997,11,-0020
1997,12,-0023
1997,13,-0020
1997,14,-0020
1997,15,-0016
1997,16,-0020
1997,17,-0020
1997,18,-0019
1997,19,-0020
1997,20,-0020
1997,21,-0022
1997,23,-0020
1998,00,-0059
1998,01,-0050
1998,02,-0050
1998,03,-0052
1998,04,-0050
1998,05,-0060
1998,06,-0050
1998,07,-0050
1998,08,-0050
1998,09,-0050
1998,10,-0050
1998,11,-0050
1998,12,-0051
1998,13,-0050
1998,14,-0050
1998,15,-0049
1998,16,-0050
1998,17,-0050
1998,18,-0047
1998,19,-0060
1998,20,-0060
1998,21,-0045
1998,22,-0070
1998,23,-0060
1999,00,-0009
1999,01,-0010
1999,02,-0010
1999,03,-0012
1999,04,-0010
1999,05,-0010
1999,06,-0008
1999,07,+0000
1999,08,-0010
1999,09,-0003
1999,10,+0000
1999,11,+0000
1999,12,+0000
1999,13,+0000
1999,14,+0000
1999,15,+0002
1999,16,+0000
1999,17,+0000
1999,18,+0003
1999,19,+0000
1999,20,+0000
1999,21,+0000
1999,22,+0000
1999,23,-0010
2000,00,-0001
2000,01,-0010
2000,02,+0000
2000,03,-0005
2000,04,+0000
2000,05,+0000
2000,06,+0003
2000,07,-0010
2000,08,+0000
2000,09,+0004
2000,10,+0010
2000,12,+0012
2000,13,+0000
2000,14,+0010
2000,15,+0007
2000,16,+0010
2000,17,+0010
2000,18,+0008
2000,20,+0020
2000,21,+0009
2000,23,+0010
2001,00,+0001
2001,01,+0000
2001,02,+0000
2001,03,+0001
2001,04,+0000
2001,05,+0000
2001,06,+0008
2001,07,+0010
2001,08,+0010
2001,09,+0014
2001,10,+0020
2001,11,+0010
2001,12,+0015
2001,13,+0010
2001,14,+0010
2001,15,+0010
2001,16,+0010
2001,17,+0000
2001,18,-0001
2001,19,-0010
2001,20,-0010
2001,21,-0016
2001,22,-0020
2001,23,-0020
2002,00,-0068
2002,01,-0070
2002,02,-0070
2002,03,-0074
2002,04,-0070
2002,05,-0070
2002,06,-0069
2002,07,-0070
2002,08,-0060
2002,09,-0060
2002,10,-0060
2002,11,-0060
2002,12,-0055
2002,13,-0050
2002,14,-0050
2002,15,-0047
2002,16,-0050
2002,17,-0040
2002,18,-0045
2002,19,-0050
2002,20,-0050
2002,21,-0050
2003,00,-0013
2003,01,-0010
2003,02,-0020
2003,03,-0016
2003,04,-0020
2003,05,-0020
2003,06,-0016
2003,07,-0020
2003,08,-0010
2003,09,-0016
2003,11,-0010
2003,12,-0017
2003,13,-0020
2003,14,-0010
2003,15,-0019
2003,16,-0020
2003,17,-0010
2003,18,-0015
2003,19,-0020
2003,20,-0020
2003,21,-0018
2003,22,-0020
2003,23,-0020
2004,00,+0031
2004,01,+0030
2004,02,+0030
2004,03,+0028
2004,04,+0040
2004,05,+0040
2004,06,+0043
2004,07,+0040
2004,08,+0040
2004,09,+0043
2004,10,+0050
2004,11,+0040
2004,12,+0048
2004,14,+0050
2004,15,+0052
2004,16,+0040
2004,17,+0040
2004,18,+0025
2004,19,+0020
2004,20,+0020
2004,21,+0011
2004,22,+0030
2004,23,+0020
2005,00,-0044
2005,01,-0040
2005,02,-0040
2005,03,-0040
2005,04,-0040
2005,05,-0030
2005,06,-0021
2005,07,-0020
2005,08,-0020
2005,09,-0020
2005,10,-0014
2005,11,-0012
2005,12,-0012
2005,13,-0014
2005,14,-0015
2005,15,-0017
2005,16,-0019
2005,17,-0018
2005,18,-0018
2005,19,-0024
2005,20,-0028
2005,21,-0026
2005,22,-0019
2005,23,-0017
2006,00,-0011
2006,01,-0014
2006,02,-0016
2006,03,-0012
2006,04,-0006
2006,05,-0007
2006,06,+0002
2006,07,+0000
2006,08,+0004
2006,09,+0007
2006,10,+0000
2006,11,+0006
2006,12,+0013
2006,13,+0016
2006,14,+0022
2006,15,+0022
2006,16,+0027
2006,17,+0018
2006,18,+0015
2006,19,+0011
2006,20,+0010
2006,21,+0009
2006,22,+0006
2006,23,+0005
2007,00,+0018
2007,01,+0017
2007,02,+0018
2007,03,+0021
2007,04,+0021
2007,05,+0035
2007,06,+0034
2007,07,+0027
2007,08,+0030
2007,09,+0027
2007,10,+0030
2007,11,+0031
2007,12,+0036
2007,13,+0033
2007,14,+0036
2007,15,+0030
2007,16,+0029
2007,17,+0031
2007,18,+0024
2007,19,+0023
2007,20,+0021
2007,21,+0022
2007,22,+0023
2007,23,+0021
2008,00,-0013
2008,01,-0019
2008,02,-0020
2008,03,-0022
2008,04,-0020
2008,05,-0020
2008,06,-0019
2008,07,-0014
2008,08,-0008
2008,09,-0004
2008,10,+0003
2008,11,+0000
2008,12,-0002
2008,13,-0002
2008,14,-0005
2008,15,-0004
2008,16,-0003
2008,17,-0005
2008,18,-0005
2008,19,-0005
2008,20,-0002
2008,21,+0001
2008,22,+0002
2008,23,+0001
2009,00,+0011
2009,01,+0012
2009,02,+0014
2009,03,+0012
2009,04,+0014
2009,05,+0016
2009,06,+0015
2009,07,+0014
2009,08,+0016
2009,09,+0018
2009,10,+0022
2009,11,+0022
2009,12,+0022
2009,13,+0023
2009,14,+0024
2009,15,+0024
2009,16,+0024
2009,17,+0024
2009,18,+0016
2009,19,+0015
2009,20,+0017
2009,21,+0015
2009,22,+0016
2009,23,+0013
2010,00,+0009
2010,01,+0010
2010,02,+0013
2010,03,+0011
2010,04,+0015
2010,05,+0015
2010,06,+0026
2010,07,+0030
2010,08,+0032
2010,09,+0017
2010,10,+0023
2010,11,+0024
2010,12,+0026
2010,13,+0025
2010,14,+0011
2010,15,+0021
2010,16,+0015
2010,17,+0014
2010,18,+0014
